Unique Method Stereotype,Method Count
property factory controller,1
void-accessor command,1
get property,1
empty,3
factory controller,3
property set factory collaborator,1
collaborator stateless,2
get property set factory collaborator,1
collaborator,4
property factory wrapper,3
property set,3
predicate set collaborator,5
get controller,2
factory controller stateless,4
get property non-void-command,2
property factory collaborator,3
property,11
command,262
constructor,282
set,53
get set,8
wrapper,34
property set collaborator,12
predicate non-void-command,11
non-void-command collaborator,3
predicate wrapper,4
get non-void-command,3
get property wrapper,1
predicate controller,2
non-void-command factory collaborator,8
command collaborator,114
property wrapper,36
get non-void-command collaborator,2
get collaborator,16
controller stateless,56
void-accessor wrapper,2
wrapper stateless,152
get property non-void-command factory collaborator,1
unclassified,2
factory collaborator,2
predicate,6
void-accessor collaborator,1
void-accessor command collaborator,14
predicate set,6
property non-void-command factory collaborator,3
property non-void-command,87
property collaborator,19
get property non-void-command collaborator,1
collaborator incidental,17
get,44
get set collaborator,3
property controller,17
property non-void-command collaborator,99
set collaborator,24
copy-constructor,1
predicate non-void-command collaborator,29
incidental,39
controller,12
Total,1538
