Unique Class Stereotype,Class Count
commander boundary lazy-class degenerate,1
commander boundary lazy-class,1
degenerate small-class,2
boundary lazy-class,1
entity boundary,13
data-class small-class,1
data-provider boundary data-class small-class,24
data-provider lazy-class,1
data-provider boundary,1
boundary small-class,4
controller small-class,2
unclassified,13
small-class,10
entity boundary small-class,11
data-class,1
commander small-class,13
pure-controller degenerate small-class,15
entity commander boundary,6
boundary degenerate small-class,3
degenerate,1
boundary,16
commander boundary,6
boundary degenerate,8
data-provider,1
boundary lazy-class degenerate,1
empty,228
entity small-class,6
commander,9
entity data-provider boundary,1
commander boundary small-class,3
lazy-class,1
commander degenerate,1
data-provider small-class,1
Total,406
