Unique Class Stereotype,Class Count
data-provider boundary small-class,1
commander boundary,1
boundary degenerate,1
controller small-class,1
data-provider boundary,1
factory degenerate small-class,1
entity boundary,3
small-class,3
entity boundary small-class,4
unclassified,3
empty,88
entity,2
pure-controller degenerate small-class,8
commander boundary small-class,16
entity commander boundary,3
boundary degenerate small-class,2
boundary,2
pure-controller degenerate,1
pure-controller small-class,5
factory pure-controller degenerate small-class,1
entity factory controller small-class,2
degenerate small-class,1
Total,150
