Unique Method Stereotype,Method Count
property wrapper,2
factory wrapper stateless,1
copy-constructor,7
non-void-command factory collaborator,6
property non-void-command collaborator,30
set collaborator,15
set,2
constructor,39
property non-void-command factory collaborator,8
property controller,7
controller stateless,12
factory controller stateless,1
command collaborator,5
command,3
empty,2
collaborator stateless,1
wrapper stateless,6
factory collaborator incidental,5
controller,9
non-void-command collaborator,36
Total,197
