Unique Class Stereotype,Class Count
data-provider data-class small-class,1
commander boundary small-class,12
commander data-class small-class,1
controller degenerate,2
factory degenerate small-class,2
data-provider small-class,1
boundary small-class,8
entity boundary,11
entity small-class,1
data-provider boundary lazy-class small-class,1
boundary,2
pure-controller degenerate,8
boundary degenerate small-class,13
commander small-class,7
degenerate small-class,3
degenerate,2
pure-controller degenerate small-class,40
small-class,1
entity boundary small-class,6
entity boundary degenerate,1
boundary data-class small-class,3
data-provider boundary small-class,1
commander,1
commander boundary,3
boundary degenerate,2
empty,63
unclassified,3
Total,199
