Unique Class Stereotype,Class Count
factory controller small-class,1
data-provider boundary lazy-class small-class,1
commander boundary degenerate,1
data-provider small-class,6
commander boundary small-class,1
commander lazy-class,3
lazy-class degenerate,1
controller degenerate,5
small-class,40
entity boundary small-class,17
pure-controller degenerate,6
boundary degenerate small-class,40
pure-controller degenerate small-class,31
entity commander boundary,8
commander boundary,10
boundary degenerate,30
factory pure-controller degenerate small-class,2
controller,4
commander degenerate,6
boundary,16
pure-controller small-class,7
degenerate,64
commander small-class,7
data-class small-class,1
entity boundary,18
lazy-class small-class,4
degenerate small-class,27
empty,326
commander,6
data-provider boundary small-class,3
data-provider,4
boundary data-class small-class,1
lazy-class data-class small-class,1
commander data-class small-class,1
boundary small-class,2
unclassified,37
controller small-class,5
factory degenerate small-class,1
entity,3
entity data-provider boundary,1
Total,748
