Unique Method Stereotype,Method Count
factory wrapper,1
collaborator,1
get wrapper,4
predicate non-void-command,4
void-accessor set collaborator,1
get property wrapper,40
get non-void-command,4
property set factory collaborator,1
get predicate non-void-command,1
get predicate wrapper,3
get set collaborator,6
get collaborator,1
get property non-void-command collaborator,1
collaborator incidental,3
get,1
property controller,8
set collaborator,24
property non-void-command collaborator,6773
predicate controller,2
non-void-command factory collaborator,2
predicate wrapper,90
non-void-command collaborator,34
wrapper,79
property set collaborator,9651
empty,472
command,9
command collaborator,193
get property controller,1
constructor,3933
set,4
property factory wrapper,10
factory collaborator incidental,1
property set,3731
controller stateless,3014
collaborator stateless,89
void-accessor command collaborator,10
void-accessor wrapper,9
wrapper stateless,163
predicate collaborator,1
factory wrapper stateless,7
get controller,2
factory controller stateless,231
property factory controller,10
property non-void-command,98
property collaborator,1
property non-void-command factory collaborator,7
void-accessor controller,9
get property factory collaborator,1
controller,2065
copy-constructor,27
predicate non-void-command collaborator,12
get non-void-command collaborator,33
property wrapper,14
void-accessor command,1
Total,30893
