Unique Method Stereotype,Method Count
unclassified,1
factory collaborator incidental,2
void-accessor command,1
property,3
get set factory collaborator,1
property factory wrapper,5
predicate,8
predicate wrapper,6
get property set collaborator,3
void-accessor set collaborator,1
get property wrapper,1
get non-void-command factory collaborator,1
property set factory collaborator,4
collaborator,2
property wrapper,49
get non-void-command collaborator,73
property collaborator,27
property non-void-command factory collaborator,50
property non-void-command,82
property factory collaborator,26
non-void-command factory collaborator,10
predicate controller,9
void-accessor wrapper,1
wrapper stateless,315
set,169
constructor,537
get collaborator,29
command,817
factory controller,2
empty,88
property factory controller,4
wrapper,159
factory collaborator stateless,24
controller stateless,637
command collaborator,2214
predicate non-void-command,74
get,14
get property non-void-command collaborator,3
collaborator incidental,54
property controller,10
property non-void-command collaborator,302
set collaborator,238
get set collaborator,87
get controller,7
factory controller stateless,9
get property non-void-command,1
copy-constructor,44
incidental,127
controller,82
predicate non-void-command collaborator,39
void-accessor command collaborator,42
collaborator stateless,12
property set collaborator,1
stateless,14
Total,6521
