Class Name,Class Stereotype,Method Name,Method Stereotype
"SkippablePlatformTheoryAttribute","empty","SkippablePlatformTheoryAttribute","constructor",
"SkippablePlatformFactAttribute","empty","SkippablePlatformFactAttribute","constructor",
"PlatformFactAttribute","empty","PlatformFactAttribute","constructor",
"TestTerminal","commander boundary degenerate","WriteLine","command collaborator",
"TestTerminal","commander boundary degenerate","ITerminal.Prompt","wrapper stateless",
"TestTerminal","commander boundary degenerate","ITerminal.PromptSecret","wrapper stateless",
"TestSettings","unclassified","GetTrace2Settings","factory collaborator incidental",
"TestSettings","unclassified","TryGetSetting","predicate non-void-command",
"TestSettings","unclassified","TryGetPathSetting","predicate non-void-command",
"TestSettings","unclassified","GetSettingValues","property non-void-command collaborator",
"TestSettings","unclassified","ISettings.GetTracingEnabled","predicate",
"TestSettings","unclassified","ISettings.GetProxyConfiguration","get collaborator",
"TestSettings","unclassified","IDisposable.Dispose","empty",
"TestHttpMessageHandler","commander boundary","Setup","set collaborator",
"TestHttpMessageHandler","commander boundary","Setup","command collaborator",
"TestHttpMessageHandler","commander boundary","Setup","command collaborator",
"TestHttpMessageHandler","commander boundary","Setup","incidental",
"TestHttpMessageHandler","commander boundary","Setup","command collaborator",
"TestHttpMessageHandler","commander boundary","AssertRequest","command",
"TestHttpMessageHandler","commander boundary","AssertNoRequests","wrapper",
"TestHttpMessageHandler","commander boundary","SendAsync","property factory controller",
"TestHttpClientFactory","factory controller small-class","IHttpClientFactory.CreateClient","property factory wrapper",
"TestHostProvider","boundary degenerate small-class","TestHostProvider","constructor",
"TestHostProvider","boundary degenerate small-class","GenerateCredentialAsync","wrapper stateless",
"TestGit","boundary degenerate small-class","TestGit","constructor",
"TestGit","boundary degenerate small-class","CreateProcess","wrapper stateless",
"TestGit","boundary degenerate small-class","IGit.InvokeHelperAsync","wrapper stateless",
"TestCredential","empty","TestCredential","constructor",
"NullTrace","degenerate","ITrace.AddListener","empty",
"NullTrace","degenerate","ITrace.Flush","empty",
"NullTrace","degenerate","ITrace.WriteException","empty",
"NullTrace","degenerate","ITrace.WriteDictionary<TKey,TValue>","empty",
"NullTrace","degenerate","WriteDictionarySecrets<TKey,TValue>","empty",
"NullTrace","degenerate","ITrace.WriteLine","empty",
"NullTrace","degenerate","ITrace.WriteLineSecrets","empty",
"NullTrace","degenerate","IDisposable.Dispose","empty",
