Unique Method Stereotype,Method Count
void-accessor set collaborator,1
destructor,1
void-accessor controller,1
predicate non-void-command,1
property wrapper,7
controller stateless,8
command collaborator,44
collaborator incidental,8
wrapper stateless,26
factory collaborator incidental,2
constructor,159
set,2
property factory wrapper,1
property controller,8
property non-void-command collaborator,82
set collaborator,3
collaborator,1
command,15
empty,1
void-accessor command collaborator,9
property non-void-command,5
property non-void-command factory collaborator,5
property collaborator,3
collaborator stateless,2
wrapper,4
controller,1
predicate non-void-command collaborator,1
copy-constructor,13
incidental,1
predicate wrapper,2
non-void-command collaborator,4
void-accessor command,3
predicate,2
property factory collaborator,1
Total,427
