Class Name,Class Stereotype,Method Name,Method Stereotype
"SystemVolumeInformation","entity boundary degenerate","SystemVolumeInformation","constructor",
"SystemVolumeInformation","entity boundary degenerate","GetVolumeInformation","property non-void-command factory collaborator",
"SystemVolumeInformation","entity boundary degenerate","OnNotify","wrapper stateless",
"SystemVolumeInformation","entity boundary degenerate","OnDefaultDeviceChanged","property non-void-command collaborator",
"SystemVolumeInformation","entity boundary degenerate","OnDeviceStateChanged","collaborator incidental",
"SystemVolumeInformation","entity boundary degenerate","OnDeviceAdded","collaborator incidental",
"SystemVolumeInformation","entity boundary degenerate","OnDeviceRemoved","collaborator incidental",
"SystemVolumeInformation","entity boundary degenerate","OnPropertyValueChanged","collaborator incidental",
"RectDelta","empty","RectDelta","constructor",
"MouseEvents","pure-controller degenerate small-class","get","controller stateless",
"MemoryStatsService","small-class","Dispose","command",
"MemoryStatsService","small-class","GetMemoryUsage","property non-void-command collaborator",
"MonitorService","entity boundary","MonitorService","constructor",
"MonitorService","entity boundary","GetMonitors","property non-void-command collaborator",
"MonitorService","entity boundary","GetMonitorByDeviceName","property non-void-command collaborator",
"MonitorService","entity boundary","GetMonitorFromHandleLocation","property non-void-command collaborator",
"MonitorService","entity boundary","GetFocusedMonitor","property wrapper",
"MonitorService","entity boundary","GetMonitorInDirection","property non-void-command collaborator",
"RemoveMonitorCommand","empty","RemoveMonitorCommand","constructor",
"RefreshMonitorStateHandler","entity boundary small-class","RefreshMonitorStateHandler","constructor",
"RefreshMonitorStateHandler","entity boundary small-class","Handle","property non-void-command collaborator",
"ContainerService","unclassified","ContainerService","constructor",
"ContainerService","unclassified","GetContainerById","property non-void-command collaborator",
"ContainerService","unclassified","GetWidthOfResizableContainer","property controller",
"ContainerService","unclassified","GetHeightOfResizableContainer","property controller",
"ContainerService","unclassified","GetXOfResizableContainer","property controller",
"ContainerService","unclassified","GetYOfResizableContainer","property controller",
"ContainerService","unclassified","GetDescendantInDirection","property non-void-command collaborator",
"ToggleTilingDirectionCommand","empty","ToggleTilingDirectionCommand","constructor",
"DisplaySettingsChangedHandler","commander boundary small-class","DisplaySettingsChangedHandler","constructor",
"DisplaySettingsChangedHandler","commander boundary small-class","Handle","command collaborator",
"ResizeWindowHandler","entity boundary small-class","ResizeWindowHandler","constructor",
"ResizeWindowHandler","entity boundary small-class","Handle","property non-void-command collaborator",
"ResizeWindowHandler","entity boundary small-class","ResizeFloatingWindow","void-accessor command collaborator",
"ResizeContainerCommand","empty","ResizeContainerCommand","constructor",
"MoveWindowCommand","empty","MoveWindowCommand","constructor",
"SystemTrayIcon","commander data-class small-class","SystemTrayIcon","copy-constructor",
"SystemTrayIcon","commander data-class small-class","Show","set collaborator",
"SystemTrayIcon","commander data-class small-class","Remove","set",
"SetFocusedDescendantCommand","empty","SetFocusedDescendantCommand","constructor",
"ReplaceContainerCommand","empty","ReplaceContainerCommand","constructor",
"IpcClient","entity commander boundary","IpcClient","constructor",
"IpcClient","entity commander boundary","ConnectAsync","non-void-command collaborator",
"IpcClient","entity commander boundary","ReceiveAsync","property non-void-command collaborator",
"IpcClient","entity commander boundary","SendTextAsync","non-void-command collaborator",
"IpcClient","entity commander boundary","SendAndWaitReplyAsync","property non-void-command collaborator",
"IpcClient","entity commander boundary","DisconnectAsync","non-void-command collaborator",
"IpcClient","entity commander boundary","Dispose","command",
"Rect","entity degenerate","TranslateToCoordinates","wrapper stateless",
"Rect","entity degenerate","TranslateToCenter","property non-void-command",
"Rect","entity degenerate","GetCenterPoint","factory collaborator incidental",
"Rect","entity degenerate","GetCenterPoint","factory collaborator incidental",
"FocusInDirectionCommand","empty","FocusInDirectionCommand","constructor",
"ExecProcessHandler","boundary degenerate small-class","Handle","wrapper stateless",
"SetFloatingHandler","entity boundary small-class","SetFloatingHandler","constructor",
"SetFloatingHandler","entity boundary small-class","Handle","property non-void-command collaborator",
"ToggleTilingDirectionHandler","entity boundary small-class","ToggleTilingDirectionHandler","constructor",
"ToggleTilingDirectionHandler","entity boundary small-class","Handle","property non-void-command collaborator",
"SyncNativeFocusHandler","data-provider boundary small-class","SyncNativeFocusHandler","constructor",
"SyncNativeFocusHandler","data-provider boundary small-class","Handle","property collaborator",
"MoveWorkspaceInDirectionHandler","entity boundary small-class","MoveWorkspaceInDirectionHandler","constructor",
"MoveWorkspaceInDirectionHandler","entity boundary small-class","Handle","property non-void-command collaborator",
"MoveWorkspaceInDirectionHandler","entity boundary small-class","ActivateWorkspaceOnMonitor","command collaborator",
"SetFocusedDescendantHandler","pure-controller degenerate small-class","Handle","controller stateless",
"AddMonitorHandler","entity boundary small-class","AddMonitorHandler","constructor",
