Unique Class Stereotype,Class Count
commander boundary,2
entity boundary,5
data-provider,7
data-provider data-class small-class,1
small-class,7
boundary lazy-class,1
degenerate small-class,1
entity data-provider boundary,3
factory pure-controller small-class,1
entity commander boundary,1
boundary degenerate small-class,3
data-provider boundary small-class,2
empty,10
commander,1
boundary large-class,1
lazy-class,1
data-provider boundary,2
unclassified,11
controller small-class,1
commander boundary data-class,1
data-provider boundary data-class small-class,1
controller degenerate,1
commander boundary small-class,2
data-provider data-class,1
data-provider small-class,1
degenerate,2
boundary,15
pure-controller small-class,1
data-provider boundary data-class,1
lazy-class degenerate,1
Total,88
