Unique Class Stereotype,Class Count
controller lazy-class degenerate,1
data-class,1
lazy-class degenerate,1
factory degenerate small-class,1
factory controller degenerate,1
commander data-class,1
entity,1
data-provider lazy-class small-class,1
boundary lazy-class,1
degenerate small-class,24
entity factory controller,1
data-provider boundary data-class small-class,13
boundary lazy-class degenerate,2
controller degenerate,4
pure-controller degenerate,18
controller,2
data-provider boundary lazy-class degenerate,2
commander degenerate,2
data-provider boundary degenerate,1
entity factory controller small-class,4
entity data-provider boundary,3
entity boundary degenerate,1
commander small-class,5
small-class,23
entity boundary small-class,23
boundary degenerate,20
data-provider boundary,6
unclassified,22
controller small-class,4
commander data-class small-class,1
boundary small-class,8
data-provider boundary small-class,6
empty,244
entity small-class,2
commander,13
data-provider boundary data-class,2
data-provider boundary lazy-class small-class,1
factory controller small-class,6
entity commander boundary,9
pure-controller degenerate small-class,31
data-provider small-class,3
commander boundary small-class,2
boundary degenerate small-class,124
data-provider,8
commander boundary lazy-class degenerate,1
data-provider data-class small-class,9
data-provider lazy-class degenerate,1
boundary data-class small-class,5
commander boundary,14
entity minimal-entity commander boundary,1
entity boundary,36
data-class small-class,5
pure-controller small-class,3
boundary,31
degenerate,25
Total,780
