Unique Method Stereotype,Method Count
predicate set collaborator,2
property set factory collaborator,2
get set collaborator,5
property non-void-command factory collaborator,49
property non-void-command,54
predicate set,3
collaborator stateless,18
get,40
get property non-void-command collaborator,2
collaborator incidental,56
get set,2
copy-constructor,11
wrapper,29
predicate non-void-command collaborator,44
incidental,57
factory collaborator incidental,2
property set,1
empty,26
get property controller,1
factory controller,3
unclassified,3
controller,28
factory collaborator,1
void-accessor wrapper,1
predicate non-void-command,24
property non-void-command collaborator,322
property controller,14
property wrapper,78
get non-void-command collaborator,7
property,26
command collaborator,193
wrapper stateless,295
command,155
property factory wrapper,15
constructor,336
set,38
property factory collaborator,4
predicate controller,7
controller stateless,297
non-void-command factory collaborator,23
predicate wrapper,8
get collaborator,40
get controller,1
factory controller stateless,13
predicate,13
void-accessor command collaborator,10
property collaborator,20
stateless,24
property set collaborator,4
get wrapper,1
factory collaborator stateless,4
get property wrapper,2
non-void-command collaborator,69
get non-void-command,9
get predicate wrapper,1
collaborator,3
factory wrapper stateless,6
set collaborator,16
non-void-command,4
property factory controller,5
get set factory collaborator,1
factory wrapper,1
get property set collaborator,1
Total,2530
