Unique Class Stereotype,Class Count
entity data-provider boundary small-class,1
data-provider boundary data-class small-class,1
data-provider,1
degenerate small-class,2
boundary controller,1
entity boundary small-class,4
commander boundary small-class,4
entity boundary,4
boundary degenerate,25
commander boundary,3
factory pure-controller degenerate small-class,1
controller,8
commander boundary degenerate,2
boundary degenerate small-class,11
boundary lazy-class small-class,2
pure-controller degenerate,82
degenerate,20
boundary,7
entity factory controller,1
entity commander boundary,4
pure-controller degenerate small-class,29
unclassified,4
controller small-class,7
data-provider boundary,6
entity,1
data-provider boundary small-class,5
entity small-class,1
empty,1381
commander,4
entity data-provider boundary,5
factory controller small-class,2
boundary data-class small-class,3
pure-controller,1
Total,1633
