Unique Class Stereotype,Class Count
commander data-class small-class,1
data-provider,1
data-provider small-class,1
data-provider data-class small-class,1
commander lazy-class,1
minimal-entity boundary,1
boundary degenerate,5
entity,2
boundary data-class small-class,1
data-provider boundary small-class,1
commander boundary,100
commander lazy-class small-class,1
boundary degenerate small-class,15
boundary lazy-class degenerate,1
controller degenerate,4
factory degenerate small-class,4
factory controller small-class,5
entity boundary small-class,12
small-class,13
controller,6
factory pure-controller degenerate small-class,4
entity factory controller small-class,3
controller small-class,16
unclassified,57
commander boundary lazy-class,1
commander boundary data-class,1
entity small-class,2
empty,1135
commander,60
commander boundary small-class,14
pure-controller,1
degenerate,14
boundary,98
pure-controller small-class,5
data-class small-class,1
entity boundary,15
degenerate small-class,7
commander boundary degenerate,2
entity data-provider boundary,1
entity commander boundary,14
pure-controller degenerate small-class,15
commander boundary data-class small-class,1
commander small-class,12
entity boundary degenerate,3
Total,1658
