Unique Class Stereotype,Class Count
entity data-provider boundary small-class,2
data-provider lazy-class degenerate,1
entity data-class small-class,2
commander boundary large-class,1
large-class,1
data-provider boundary data-class,1
large-class degenerate,2
entity factory controller data-class small-class,1
lazy-class,3
minimal-entity,1
entity factory controller,2
data-provider data-class,5
factory controller data-class small-class,4
commander boundary lazy-class,5
boundary large-class lazy-class degenerate,1
data-provider data-class small-class,13
data-provider boundary data-class small-class,18
boundary lazy-class,13
controller small-class,33
unclassified,156
data-provider,9
data-provider small-class,4
entity small-class,14
data-provider lazy-class small-class,1
empty,2594
factory controller,2
minimal-entity boundary lazy-class,1
entity commander boundary,110
commander data-class small-class,60
data-provider boundary lazy-class degenerate,1
factory degenerate,2
entity commander boundary lazy-class,1
boundary small-class,46
degenerate small-class,195
boundary data-class small-class,10
entity boundary degenerate,11
boundary data-class,6
commander lazy-class,4
commander small-class,316
boundary degenerate small-class,252
entity boundary lazy-class degenerate,3
entity commander boundary degenerate,1
entity minimal-entity commander boundary,2
small-class,103
factory controller lazy-class small-class,1
commander boundary,529
boundary,237
controller lazy-class degenerate,2
degenerate,156
pure-controller small-class,22
commander boundary small-class,493
data-class,5
commander,234
commander boundary data-class small-class,83
entity boundary,195
factory pure-controller degenerate small-class,6
pure-controller,6
data-provider boundary small-class,27
controller,17
entity factory controller small-class,19
controller degenerate,34
boundary lazy-class degenerate,7
commander boundary degenerate,71
commander lazy-class degenerate,1
boundary degenerate,168
entity data-provider boundary,8
pure-controller degenerate,73
factory small-class,1
commander boundary data-class,10
commander data-class,7
entity,18
factory pure-controller small-class,4
lazy-class small-class,1
boundary large-class,5
minimal-entity boundary,1
factory controller small-class,23
data-class small-class,11
commander degenerate,30
data-provider boundary,18
entity minimal-entity boundary,3
lazy-class degenerate,9
pure-controller degenerate small-class,110
entity boundary small-class,100
minimal-entity commander boundary,1
commander boundary lazy-class small-class,23
factory degenerate small-class,22
commander boundary lazy-class degenerate,15
controller data-class,1
boundary lazy-class small-class,2
data-provider boundary degenerate,1
commander lazy-class small-class,25
Total,6848
