Unique Method Stereotype,Method Count
void-accessor set,1
get predicate collaborator,2
get property factory collaborator,4
get property,10
get property set,1
get property wrapper,11
get set factory,2
get predicate set,1
get command collaborator,1
property set,5
get property non-void-command factory collaborator,12
get property factory wrapper,5
get property set collaborator,5
property set factory collaborator,40
destructor,28
set factory collaborator,38
collaborator,87
predicate controller,37
property factory,3
predicate set,8
get predicate non-void-command collaborator,4
property set collaborator,65
incidental,453
factory collaborator,12
controller,443
void-accessor collaborator,22
copy-constructor,58
predicate set collaborator,27
get set collaborator,53
empty,1004
get non-void-command,25
non-void-command collaborator,748
predicate wrapper,103
property factory collaborator,93
void-accessor command collaborator,775
property non-void-command factory collaborator,269
property non-void-command,312
stateless,90
property collaborator,138
collaborator incidental,665
get,326
get property non-void-command collaborator,50
wrapper stateless,3172
constructor,5414
factory controller,72
get property controller,5
set,1259
non-void-command,81
set collaborator,1446
property non-void-command collaborator,1640
property controller,95
void-accessor wrapper,60
predicate non-void-command,175
property wrapper,357
get non-void-command collaborator,78
non-void-command factory collaborator,151
controller stateless,2653
void-accessor command,52
factory controller stateless,156
predicate non-void-command collaborator,362
wrapper,2016
get factory collaborator,2
get predicate non-void-command,6
get set,11
command,3039
property factory wrapper,51
get controller,1
get collaborator,425
predicate,75
get non-void-command factory collaborator,25
get property set factory collaborator,9
collaborator stateless,273
factory collaborator stateless,212
void-accessor,12
predicate collaborator,38
get predicate,6
factory wrapper stateless,113
command collaborator,5125
property,64
get property collaborator,25
get property non-void-command,7
void-accessor set collaborator,88
void-accessor controller,55
property factory controller,25
get set factory collaborator,22
factory wrapper,8
factory collaborator incidental,48
get wrapper,19
unclassified,99
Total,35163
