Class Name,Class Stereotype,Method Name,Method Stereotype
"TestSensor","unclassified","TestSensor","constructor",
"TestSensor","unclassified","GetObservationSpec","wrapper stateless",
"TestSensor","unclassified","Write","property set collaborator",
"TestSensor","unclassified","GetCompressedObservation","property set",
"TestSensor","unclassified","GetCompressionSpec","property factory wrapper",
"TestSensor","unclassified","GetName","get",
"TestSensor","unclassified","Update","empty",
"TestSensor","unclassified","Reset","set",
"TestPolicy","pure-controller small-class","RequestDecision","controller",
"TestPolicy","pure-controller small-class","Dispose","empty",
"StackingSensorTests","degenerate","SetUp","wrapper stateless",
"StackingSensorTests","degenerate","TearDown","wrapper stateless",
"StackingSensorTests","degenerate","TestCtor","controller stateless",
"StackingSensorTests","degenerate","AssertStackingReset","controller stateless",
"StackingSensorTests","degenerate","TestVectorStacking","controller stateless",
"StackingSensorTests","degenerate","TestVectorStackingReset","controller stateless",
"StackingSensorTests","degenerate","TestStackingMapping","controller stateless",
"StackingSensorTests","degenerate","Test3DStacking","controller stateless",
"StackingSensorTests","degenerate","TestStackedGetCompressedObservation","controller stateless",
"StackingSensorTests","degenerate","TestStackingSensorBuiltInSensorType","controller stateless",
"SensorUtilTests","pure-controller degenerate small-class","TestSortCulture","controller stateless",
"DummySensor","data-provider lazy-class degenerate","DummySensor","constructor",
"DummySensor","data-provider lazy-class degenerate","DummySensor","constructor",
"DummySensor","data-provider lazy-class degenerate","DummySensor","constructor",
"DummySensor","data-provider lazy-class degenerate","GetName","get",
"DummySensor","data-provider lazy-class degenerate","GetObservationSpec","get collaborator",
"DummySensor","data-provider lazy-class degenerate","GetCompressedObservation","incidental",
"DummySensor","data-provider lazy-class degenerate","Write","property non-void-command collaborator",
"DummySensor","data-provider lazy-class degenerate","Update","empty",
"DummySensor","data-provider lazy-class degenerate","Reset","empty",
"DummySensor","data-provider lazy-class degenerate","GetCompressionSpec","wrapper stateless",
"RenderTextureSensorTests","pure-controller degenerate small-class","TestRenderTextureSensor","controller stateless",
