Unique Method Stereotype,Method Count
property set factory collaborator,2
get wrapper,1
predicate set collaborator,4
get non-void-command factory collaborator,2
get property non-void-command factory collaborator,1
predicate wrapper,2
incidental,38
copy-constructor,37
get property wrapper,3
predicate,7
controller,14
factory collaborator,3
unclassified,9
collaborator incidental,53
get,8
get property non-void-command collaborator,4
void-accessor command collaborator,33
property non-void-command factory collaborator,59
property non-void-command,7
predicate set,4
get property set factory collaborator,1
predicate non-void-command collaborator,21
wrapper,106
get set,8
wrapper stateless,314
set,42
void-accessor set collaborator,6
get property collaborator,3
constructor,520
property factory wrapper,3
command,173
empty,31
factory controller,2
non-void-command,13
set collaborator,79
property non-void-command collaborator,280
property controller,12
non-void-command collaborator,414
factory wrapper stateless,4
void-accessor command,2
factory controller stateless,15
get set collaborator,12
property,9
command collaborator,281
get non-void-command collaborator,7
property wrapper,960
factory collaborator stateless,11
get set factory,1
predicate non-void-command,14
get collaborator,3
controller stateless,110
non-void-command factory collaborator,22
predicate controller,1
factory collaborator incidental,3
property set collaborator,8
property collaborator,3
stateless,7
get property set collaborator,2
get set factory collaborator,4
property factory controller,2
collaborator,1
get property set,4
factory wrapper,3
collaborator stateless,24
property non-void-command factory,1
property factory collaborator,2
Total,3835
