Unique Class Stereotype,Class Count
boundary small-class,1
pure-controller,1
data-provider boundary data-class small-class,1
boundary data-class,2
minimal-entity boundary,1
commander boundary,8
boundary degenerate,7
entity factory controller small-class,1
boundary data-class small-class,1
commander small-class,1
entity boundary degenerate,1
entity boundary small-class,16
small-class,1
data-class small-class,1
entity boundary,14
data-provider boundary small-class,3
boundary degenerate small-class,16
entity,1
commander,4
factory controller,1
empty,118
controller small-class,1
unclassified,10
commander boundary data-class,1
data-provider boundary,1
pure-controller degenerate,28
entity commander boundary,2
pure-controller degenerate small-class,67
degenerate small-class,5
boundary,6
degenerate,30
pure-controller small-class,2
data-provider small-class,1
controller degenerate,2
commander boundary small-class,5
lazy-class degenerate,1
Total,362
