Unique Method Stereotype,Method Count
factory controller stateless,2
property collaborator,1
property non-void-command factory collaborator,2
command collaborator,49
predicate,1
void-accessor controller,1
unclassified,1
command,31
controller,4
incidental,8
get collaborator,1
property set collaborator,1
factory collaborator stateless,6
wrapper,6
destructor,1
get non-void-command collaborator,1
property wrapper,9
set,10
constructor,43
wrapper stateless,58
void-accessor command collaborator,6
void-accessor command,3
property controller,2
set collaborator,7
property non-void-command collaborator,5
non-void-command collaborator,15
predicate wrapper,2
controller stateless,7
collaborator,4
collaborator incidental,10
get property non-void-command collaborator,1
property,1
get set collaborator,1
Total,300
