Class Name,Class Stereotype,Method Name,Method Stereotype
"i18N","empty","i18N","constructor",
"WebUtil","empty","WebUtil","constructor",
"ServerHelper","empty","ServerHelper","constructor",
"PortReservedException","empty","PortReservedException","constructor",
"PortReservedException","empty","PortReservedException","constructor",
"PortInUseException","empty","PortInUseException","constructor",
"PortInUseException","empty","PortInUseException","constructor",
"PortHelper","empty","PortHelper","constructor",
"WireGuardUtil","boundary degenerate","Edit","wrapper stateless",
"WireGuardUtil","boundary degenerate","Create","wrapper stateless",
"WireGuardUtil","boundary degenerate","GetShareLink","wrapper stateless",
"WireGuardUtil","boundary degenerate","GetController","factory wrapper stateless",
"WireGuardUtil","boundary degenerate","ParseUri","wrapper stateless",
"WireGuardUtil","boundary degenerate","CheckServer","collaborator incidental",
"Server","boundary","Clone","wrapper stateless",
"Server","boundary","ToString","property wrapper",
"Server","boundary","PingAsync","property set collaborator",
"Profile","empty","Profile","constructor",
"Profile","empty","Profile","constructor",
"TrojanServer","commander lazy-class small-class","MaskedData","incidental",
"TrojanServer","commander lazy-class small-class","set","set",
"Setting","lazy-class degenerate","ShallowCopy","wrapper stateless",
"Setting","lazy-class degenerate","Set","controller stateless",
"Setting","lazy-class degenerate","set","set collaborator",
"NumberRange","data-provider small-class","NumberRange","constructor",
"NumberRange","data-provider small-class","InRange","predicate",
"SyncGlobalCheckBox","commander","SyncGlobalCheckBox","constructor",
"SyncGlobalCheckBox","commander","OnClick","command collaborator",
"SyncGlobalCheckBox","commander","OnSyncGlobalChanged","wrapper",
"SyncGlobalCheckBox","commander","set","set",
"SyncGlobalCheckBox","commander","set","set",
"SyncGlobalCheckBox","commander","set","incidental",
"GitHubRelease","empty","GitHubRelease","constructor",
"AboutForm","commander small-class","Dispose","command",
"AboutForm","commander small-class","InitializeComponent","command",
"WireGuardServer","degenerate small-class","MaskedData","incidental",
"TUNController","commander boundary","StartAsync","non-void-command collaborator",
"TUNController","commander boundary","StopAsync","non-void-command collaborator",
"TUNController","commander boundary","CheckDriver","wrapper stateless",
"TUNController","commander boundary","SetupRouteTable","command collaborator",
"TUNController","commander boundary","ClearRouteTable","command",
"SettingForm","commander small-class","Dispose","command",
"SettingForm","commander small-class","InitializeComponent","command",
"SSHUtil","boundary degenerate","Edit","wrapper stateless",
"SSHUtil","boundary degenerate","Create","wrapper stateless",
"SSHUtil","boundary degenerate","GetShareLink","wrapper stateless",
"SSHUtil","boundary degenerate","GetController","factory wrapper stateless",
"SSHUtil","boundary degenerate","ParseUri","wrapper stateless",
"SSHUtil","boundary degenerate","CheckServer","collaborator incidental",
"PcapController","commander boundary","PcapController","constructor",
"PcapController","commander boundary","StartAsync","non-void-command collaborator",
"PcapController","commander boundary","StopAsync","non-void-command collaborator",
"PcapController","commander boundary","~PcapController","destructor",
"PcapController","commander boundary","OnReadNewLine","command",
"PcapController","commander boundary","OnStarted","command",
"PcapController","commander boundary","OnStartFailed","wrapper stateless",
"BindingForm","boundary","BindTextBox","wrapper stateless",
"BindingForm","boundary","BindTextBox<T>","void-accessor command collaborator",
"BindingForm","boundary","BindCheckBox","void-accessor command",
"BindingForm","boundary","BindSyncGlobalCheckBox","void-accessor command",
"BindingForm","boundary","BindRadioBox","void-accessor command",
"BindingForm","boundary","BindListComboBox<T>","void-accessor command collaborator",
"BindingForm","boundary","BindComboBox","void-accessor command collaborator",
"BindingForm","boundary","GetInvalidateValueControls","property non-void-command collaborator",
"BindingForm","boundary","Validate","get non-void-command collaborator",
"BindingForm","boundary","SaveBinds","controller",
"DNSController","boundary degenerate small-class","StartAsync","wrapper stateless",
"DNSController","boundary degenerate small-class","StopAsync","wrapper stateless",
"MainForm","commander small-class","Dispose","command",
"MainForm","commander small-class","InitializeComponent","command",
"ShadowsocksRController","empty","ShadowsocksRController","constructor",
"ModeConverterWithTypeDiscriminator","degenerate small-class","Read","controller stateless",
"ModeConverterWithTypeDiscriminator","degenerate small-class","Write","wrapper stateless",
"SuffixVersion","entity boundary","SuffixVersion","constructor",
"SuffixVersion","entity boundary","SuffixVersion","constructor",
"SuffixVersion","entity boundary","CompareTo","property non-void-command collaborator",
"SuffixVersion","entity boundary","CompareTo","get property non-void-command collaborator",
"SuffixVersion","entity boundary","ToString","property non-void-command collaborator",
"Socks5Server","data-provider small-class","MaskedData","incidental",
"Socks5Server","data-provider small-class","Socks5Server","constructor",
"Socks5Server","data-provider small-class","Socks5Server","constructor",
"Socks5Server","data-provider small-class","Socks5Server","constructor",
"Socks5Server","data-provider small-class","Socks5Server","constructor",
"Socks5Server","data-provider small-class","Auth","predicate wrapper",
"Guard","commander boundary small-class","Guard","constructor",
"Guard","commander boundary small-class","StartGuardAsync","non-void-command collaborator",
"Guard","commander boundary small-class","ReadOutputAsync","non-void-command collaborator",
"RouteForm","commander small-class","Dispose","command",
"RouteForm","commander small-class","InitializeComponent","command",
"NetRoute","boundary degenerate small-class","FillTemplate","wrapper stateless",
"ServerForm","commander boundary","ServerForm","constructor",
"ServerForm","commander boundary","ShowDialog","non-void-command collaborator",
"ServerForm","commander boundary","Show","non-void-command collaborator",
"ServerForm","commander boundary","AfterFactor","command",
"ServerForm","commander boundary","CreateComboBox","collaborator",
"ServerForm","commander boundary","CreateCheckBox","collaborator",
"ServerForm","commander boundary","AddSaveButton","set collaborator",
"ServerForm","commander boundary","ControlButton_Click","command collaborator",
"ServerForm","commander boundary","Dispose","command",
"ServerForm","commander boundary","InitializeComponent","command",
"SubscriptionForm","commander small-class","Dispose","command",
"SubscriptionForm","commander small-class","InitializeComponent","command",
"Global","empty","Global","constructor",
"ProcessForm","commander small-class","Dispose","command",
"ProcessForm","commander small-class","InitializeComponent","command",
"ModeHelper","empty","ModeHelper","constructor",
"TagItem<T>","empty","TagItem","constructor",
"ShadowsocksController","empty","ShadowsocksController","constructor",
"Resources","data-provider boundary","Resources","constructor",
"Resources","data-provider boundary","get","get set collaborator",
"Resources","data-provider boundary","get","get collaborator",
"Resources","data-provider boundary","set","set collaborator",
"Resources","data-provider boundary","get","property wrapper",
"Resources","data-provider boundary","get","property wrapper",
"Resources","data-provider boundary","get","property wrapper",
"Resources","data-provider boundary","get","property wrapper",
"Resources","data-provider boundary","get","property wrapper",
"Resources","data-provider boundary","get","property wrapper",
"Resources","data-provider boundary","get","property wrapper",
"Resources","data-provider boundary","get","property wrapper",
"ShadowsocksUtil","boundary degenerate","Edit","wrapper stateless",
"ShadowsocksUtil","boundary degenerate","Create","wrapper stateless",
"ShadowsocksUtil","boundary degenerate","GetShareLink","wrapper stateless",
"ShadowsocksUtil","boundary degenerate","GetController","factory wrapper stateless",
"ShadowsocksUtil","boundary degenerate","ParseUri","property non-void-command factory collaborator",
"ShadowsocksUtil","boundary degenerate","CheckServer","wrapper stateless",
"ShadowsocksUtil","boundary degenerate","ParseSsdUri","controller stateless",
"ShadowsocksUtil","boundary degenerate","ParseSsUri","property non-void-command collaborator",
"ShadowsocksRUtil","boundary degenerate","Edit","wrapper stateless",
"ShadowsocksRUtil","boundary degenerate","Create","wrapper stateless",
"ShadowsocksRUtil","boundary degenerate","GetShareLink","collaborator incidental",
"NFController","unclassified","StartAsync","non-void-command collaborator",
"NFController","unclassified","StopAsync","wrapper stateless",
"NFController","unclassified","DialRule","controller",
"SSHServer","degenerate small-class","MaskedData","incidental",
"VMessUtil","boundary degenerate","Edit","wrapper stateless",
"VMessUtil","boundary degenerate","Create","wrapper stateless",
"VMessUtil","boundary degenerate","GetShareLink","wrapper stateless",
"VMessUtil","boundary degenerate","GetController","factory wrapper stateless",
"VMessUtil","boundary degenerate","ParseUri","factory controller stateless",
"VMessUtil","boundary degenerate","CheckServer","collaborator incidental",
"ShadowsocksServer","data-provider small-class","MaskedData","incidental",
"ShadowsocksServer","data-provider small-class","HasPlugin","predicate wrapper",
"StatusPortInfoText","controller small-class","get","property controller",
"ShadowsocksRServer","degenerate small-class","MaskedData","incidental",
"Socks5Controller","entity boundary small-class","StartAsync","property non-void-command collaborator",
"Socks5Form","lazy-class small-class","AddressTextBoxOnTextChanged","set collaborator",
"Socks5Form","lazy-class small-class","IsPrivateAddress","controller stateless",
"TrojanController","entity factory controller small-class","TrojanController","constructor",
"TrojanController","entity factory controller small-class","StartAsync","property non-void-command factory collaborator",
"VMessServer","small-class","MaskedData","property collaborator",
"VMessServer","small-class","set","set",
"LogForm","commander small-class","Dispose","command",
"LogForm","commander small-class","InitializeComponent","command",
"TrojanUtil","boundary degenerate","Edit","wrapper stateless",
"TrojanUtil","boundary degenerate","Create","wrapper stateless",
"TrojanUtil","boundary degenerate","GetShareLink","collaborator incidental",
