Unique Class Stereotype,Class Count
boundary degenerate,1
entity minimal-entity boundary,1
lazy-class degenerate,1
commander lazy-class small-class,1
factory controller small-class,2
boundary data-class small-class,5
entity boundary small-class,8
small-class,18
controller small-class,1
unclassified,9
commander boundary small-class,24
data-provider boundary small-class,3
commander degenerate,1
boundary large-class,1
commander boundary lazy-class degenerate,1
commander lazy-class,1
data-provider small-class,2
commander boundary degenerate,1
commander boundary,19
commander boundary data-class small-class,8
commander small-class,20
pure-controller small-class,2
degenerate,1
boundary,1
factory degenerate small-class,2
boundary degenerate small-class,4
empty,131
commander,84
entity small-class,1
commander data-class,4
entity,1
entity commander boundary,4
pure-controller degenerate small-class,2
entity boundary,7
data-class small-class,5
boundary small-class,2
commander data-class small-class,5
factory small-class,1
Total,385
