Unique Class Stereotype,Class Count
entity factory controller small-class,1
data-provider,1
degenerate small-class,2
commander,1
boundary large-class degenerate,7
controller small-class,8
boundary small-class,2
entity commander boundary degenerate,1
small-class,12
entity boundary small-class,35
commander boundary data-class small-class,1
entity boundary degenerate,1
boundary data-class small-class,2
controller,1
commander boundary,3
boundary degenerate,11
commander boundary small-class,56
controller degenerate,6
degenerate,18
pure-controller degenerate small-class,105
entity factory controller,1
boundary,10
pure-controller degenerate,32
boundary lazy-class small-class,1
entity commander boundary,2
boundary degenerate small-class,66
empty,163
unclassified,6
entity boundary,14
Total,569
