Unique Method Stereotype,Method Count
property factory,2
get property non-void-command collaborator,1
get,11
collaborator incidental,15
factory collaborator,1
controller stateless,4
wrapper stateless,39
non-void-command factory collaborator,1
property non-void-command collaborator,6
set collaborator,13
property non-void-command,7
command collaborator,70
empty,8
command,41
wrapper,45
predicate collaborator,1
constructor,34
set,14
property factory wrapper,1
predicate,4
get property wrapper,2
void-accessor set collaborator,1
void-accessor command collaborator,3
get collaborator,4
get wrapper,3
controller,1
incidental,1
predicate non-void-command collaborator,2
property wrapper,12
property,1
non-void-command,1
factory controller stateless,1
Total,350
