Unique Class Stereotype,Class Count
commander boundary lazy-class small-class,1
factory controller data-class,1
lazy-class,1
entity,5
commander boundary data-class,1
data-provider,4
entity factory controller small-class,14
factory pure-controller degenerate small-class,5
commander boundary lazy-class degenerate,3
boundary lazy-class small-class,3
controller degenerate,2
boundary lazy-class degenerate,2
boundary data-class small-class,15
data-provider lazy-class degenerate,1
degenerate small-class,34
boundary lazy-class,5
degenerate,25
boundary,117
pure-controller small-class,21
controller small-class,56
unclassified,51
entity commander boundary lazy-class,1
boundary large-class degenerate,1
boundary small-class,32
commander data-class small-class,4
commander boundary small-class,83
factory controller data-class small-class,2
empty,1991
entity small-class,20
entity commander boundary,90
pure-controller degenerate small-class,150
entity boundary small-class,141
small-class,81
boundary degenerate small-class,82
commander boundary degenerate,6
boundary data-class,1
commander small-class,28
entity boundary degenerate,5
commander boundary,160
boundary degenerate,26
data-provider boundary,13
entity minimal-entity boundary,5
data-provider boundary degenerate,3
lazy-class small-class,3
data-provider data-class small-class,3
data-provider boundary data-class small-class,4
data-provider small-class,3
lazy-class degenerate,2
commander,13
commander boundary data-class small-class,6
entity boundary,228
data-class,5
entity data-provider boundary small-class,3
controller,12
data-provider boundary small-class,37
pure-controller,2
factory small-class,3
pure-controller degenerate,9
entity data-provider boundary,3
entity boundary data-class,2
controller data-class small-class,2
factory degenerate small-class,3
minimal-entity boundary,1
data-class small-class,6
factory controller small-class,14
commander degenerate,1
Total,3657
