Class Name,Class Stereotype,Method Name,Method Stereotype
"Period","empty","Period","constructor"
"LimitedCapacityQueue<T>","entity boundary","LimitedCapacityQueue","constructor"
"LimitedCapacityQueue<T>","entity boundary","Clear","command"
"LimitedCapacityQueue<T>","entity boundary","Dequeue","property non-void-command collaborator"
"LimitedCapacityQueue<T>","entity boundary","Enqueue","command collaborator"
"LimitedCapacityQueue<T>","entity boundary","GetEnumerator","get collaborator"
"LimitedCapacityQueue<T>","entity boundary","IEnumerable.GetEnumerator","property non-void-command collaborator"
"LimitedCapacityQueue<T>","entity boundary","get","get wrapper"
"UserRankPanel","entity commander boundary","UserRankPanel","constructor"
"UserRankPanel","entity commander boundary","load","command"
"UserRankPanel","entity commander boundary","CreateLayout","non-void-command factory collaborator"
"UserRankPanel","entity commander boundary","OnHover","predicate non-void-command collaborator"
"UserRankPanel","entity commander boundary","OnHoverLost","command collaborator"
"UserPanel","commander boundary small-class","UserPanel","constructor"
"UserPanel","commander boundary small-class","load","command collaborator"
"UserGridPanel","small-class","UserGridPanel","constructor"
"UserGridPanel","small-class","load","command"
"UserGridPanel","small-class","CreateLayout","non-void-command factory collaborator"
"ExtendedUserPanel","commander","ExtendedUserPanel","constructor"
"ExtendedUserPanel","commander","load","command"
"ExtendedUserPanel","commander","LoadComplete","command"
"ExtendedUserPanel","commander","CreateStatusMessage","set collaborator"
"UpdateableFlag","boundary","UpdateableFlag","constructor"
"UpdateableFlag","boundary","load","controller"
"UpdateableFlag","boundary","CreateDrawable","factory collaborator stateless"
"UpdateableFlag","boundary","OnClick","predicate wrapper"
"UpdateableFlag","boundary","set","set collaborator"
"UpdateableAvatar","factory controller small-class","UpdateableAvatar","constructor"
"UpdateableAvatar","factory controller small-class","CreateDrawable","property factory collaborator"
"DrawableFlag","commander boundary small-class","DrawableFlag","constructor"
"DrawableFlag","commander boundary small-class","load","command collaborator"
"ClickableAvatar","entity boundary","ClickableAvatar","constructor"
"ClickableAvatar","entity boundary","load","wrapper"
"ClickableAvatar","entity boundary","openProfile","wrapper"
"ClickableAvatar","entity boundary","OnClick","predicate non-void-command collaborator"
"SimpleUpdateManager","entity boundary","load","set collaborator"
"SimpleUpdateManager","entity boundary","PerformUpdateCheck","property non-void-command collaborator"
"SimpleUpdateManager","entity boundary","tryGetBestUrl","wrapper stateless"
"NoActionUpdateManager","boundary data-class small-class","load","set collaborator"
"NoActionUpdateManager","boundary data-class small-class","PerformUpdateCheck","property set collaborator"
"TestReplayPlayer","empty","TestReplayPlayer","constructor"
"TestReplayPlayer","empty","TestReplayPlayer","constructor"
"SelectionBlueprintTestScene","pure-controller degenerate small-class","SelectionBlueprintTestScene","constructor"
"SelectionBlueprintTestScene","pure-controller degenerate small-class","AddBlueprint","controller stateless"
"OsuGridTestScene","empty","OsuGridTestScene","constructor"
"TestMultiplayerClient","entity commander boundary","TestMultiplayerClient","constructor"
"TestMultiplayerClient","entity commander boundary","AddUser","property non-void-command collaborator"
"TestMultiplayerClient","entity commander boundary","addUser","void-accessor command collaborator"
"TestMultiplayerClient","entity commander boundary","RemoveUser","command collaborator"
"TestMultiplayerClient","entity commander boundary","ChangeRoomState","set collaborator"
"TestMultiplayerClient","entity commander boundary","ChangeUserState","command collaborator"
"TestMultiplayerClient","entity commander boundary","updateRoomStateIfRequired","command collaborator"
"MultiplayerTestScene","small-class","MultiplayerTestScene","constructor"
"MultiplayerTestScene","small-class","CreateRoom","property factory collaborator"
"MultiplayerTestScene","small-class","SetUpSteps","command"
"ModTestScene","small-class","TearDownSteps","command"
"ModTestScene","small-class","CreatePlayer","property set collaborator"
"ModFailConditionTestScene","empty","ModFailConditionTestScene","constructor"
"TestMetadataClient","boundary data-class","BeginWatchingUserPresence","property set collaborator"
"TestMetadataClient","boundary data-class","EndWatchingUserPresence","property set collaborator"
"TestMetadataClient","boundary data-class","UpdateActivity","property set collaborator"
"TestMetadataClient","boundary data-class","UpdateStatus","property set collaborator"
"TestMetadataClient","boundary data-class","UserPresenceUpdated","property set collaborator"
