Unique Method Stereotype,Method Count
get property non-void-command factory collaborator,1
get property wrapper,1
wrapper stateless,145
predicate controller,4
controller,81
incidental,42
void-accessor collaborator,1
copy-constructor,3
get,57
get property non-void-command collaborator,3
collaborator incidental,23
property non-void-command collaborator,117
property controller,18
property set collaborator,3
predicate collaborator,8
factory wrapper stateless,5
unclassified,1
empty,36
property non-void-command factory collaborator,54
property non-void-command,46
property collaborator,25
property wrapper,42
get non-void-command collaborator,7
property,24
command collaborator,266
void-accessor wrapper,3
predicate non-void-command,21
property factory,2
constructor,286
factory controller,8
get property controller,1
set,55
get collaborator,40
void-accessor command collaborator,120
non-void-command factory collaborator,12
controller stateless,101
get set collaborator,2
non-void-command collaborator,14
predicate wrapper,3
factory collaborator stateless,9
factory controller stateless,7
void-accessor command,6
property factory collaborator,4
property set,2
factory collaborator incidental,1
predicate non-void-command collaborator,29
wrapper,41
predicate,9
collaborator stateless,8
property non-void-command factory,1
set collaborator,30
non-void-command,9
command,195
property factory wrapper,8
void-accessor controller,5
property factory controller,2
get property,1
set factory collaborator,1
collaborator,2
get property set collaborator,1
get property collaborator,1
void-accessor set collaborator,2
get property non-void-command,1
Total,2056
