Unique Method Stereotype,Method Count
factory collaborator stateless,2
property factory wrapper,3
factory collaborator incidental,21
collaborator stateless,3
factory wrapper stateless,37
command collaborator,9
set,12
constructor,81
property set collaborator,8
factory controller stateless,11
controller stateless,47
property wrapper,1
void-accessor controller,2
non-void-command factory collaborator,5
predicate non-void-command,4
non-void-command collaborator,62
predicate wrapper,1
void-accessor collaborator,1
void-accessor command collaborator,4
property non-void-command,3
predicate set,1
property non-void-command factory collaborator,20
property controller,1
property non-void-command collaborator,70
set collaborator,6
void-accessor wrapper,1
wrapper stateless,67
property,3
get collaborator,1
factory controller,1
empty,19
command,10
collaborator incidental,28
copy-constructor,53
predicate non-void-command collaborator,1
incidental,2
controller,5
Total,606
