Class Name,Class Stereotype,Method Name,Method Stereotype
"BandObject","unclassified","ActiveRebarCount","property wrapper",
"BandObject","unclassified","BandHasBreak","predicate non-void-command collaborator",
"BandObject","unclassified","CloseDW","command",
"BandObject","unclassified","ContextSensitiveHelp","empty",
"BandObject","unclassified","GetBandInfo","void-accessor command collaborator",
"BandObject","unclassified","GetRebarBand","property factory wrapper",
"BandObject","unclassified","GetSite","property collaborator",
"BandObject","unclassified","GetWindow","void-accessor",
"BandObject","unclassified","HasFocusIO","incidental",
"BandObject","unclassified","OnExplorerAttached","wrapper stateless",
"BandObject","unclassified","OnGotFocus","command collaborator",
"BandObject","unclassified","OnLostFocus","command collaborator",
"BandObject","unclassified","ResizeBorderDW","empty",
"BandObject","unclassified","ShouldHaveBreak","incidental",
"BandObject","unclassified","SetSite","property non-void-command collaborator",
"BandObject","unclassified","ShowDW","command",
"BandObject","unclassified","TranslateAcceleratorIO","wrapper stateless",
"BandObject","unclassified","UIActivateIO","controller stateless",
"BandObject","unclassified","UnsetInfo","set",
"BandObject","unclassified","GetClassID","collaborator incidental",
"BandObject","unclassified","IsDirty","incidental",
"BandObject","unclassified","IPersistStreamLoad","empty",
"BandObject","unclassified","Save","empty",
"BandObject","unclassified","GetSizeMax","incidental",
"BandObject","unclassified","InitializeComponent","command",
"BandObject","unclassified","OnDpiChanged","empty",
"BandObject","unclassified","get","get",
"BandObject","unclassified","get","get collaborator",
"BandObject","unclassified","set","set collaborator",
"BandObject","unclassified","get","get collaborator",
"BandObject","unclassified","set","set collaborator",
"BandObject","unclassified","get","property",
"DpiAwareUserControl","commander","NotifyDpiChanged","command",
"DpiAwareUserControl","commander","OnDpiChanged","empty",
"DpiAwareUserControl","commander","OnVisibleChanged","set collaborator",
"BandObjectAttribute","empty","BandObjectAttribute","constructor",
"BandObjectAttribute","empty","BandObjectAttribute","constructor",
"DpiAwareForm","entity commander boundary","ScaleBeforeHandleIsCreated","command collaborator",
"DpiAwareForm","entity commander boundary","ScaleBeforeHandleIsCreatedCore","command",
"DpiAwareForm","entity commander boundary","OnHandleCreated","collaborator",
"DpiAwareForm","entity commander boundary","OnDpiChanged","command collaborator",
"DpiAwareForm","entity commander boundary","WndProc","command collaborator",
"DpiAwareForm","entity commander boundary","PreprocessOnDpiChange","void-accessor command collaborator",
"DpiAwareForm","entity commander boundary","OnPreprocessControlOnDpiChange","empty",
"DpiAwareForm","entity commander boundary","ReanchorControlsInTabPage","collaborator incidental",
"MSG","data-class small-class","get","get",
"MSG","data-class small-class","set","set",
"DpiAwareControl","unclassified","NotifyDpiChanged","command",
"DpiAwareControl","unclassified","OnDpiChanged","empty",
"DpiAwareControl","unclassified","OnVisibleChanged","command collaborator",
"DpiAwareControl","unclassified","get","property",
"DpiManager","degenerate","get","incidental",
"DpiManager","degenerate","get","wrapper stateless",
"DpiManager","degenerate","get","incidental",
"DpiManager","degenerate","get","wrapper stateless",
"DpiManager","degenerate","get","incidental",
"QTUtility","data-provider","get","incidental",
"QTUtility","data-provider","get","predicate",
"QTUtility","data-provider","get","predicate",
"QTUtility","data-provider","get","predicate",
"QTUtility","data-provider","get","predicate",
"POINT","empty","POINT","constructor",
"DpiAwareTextBox","commander","NotifyDpiChanged","command",
"DpiAwareTextBox","commander","OnDpiChanged","empty",
"DpiAwareTextBox","commander","OnVisibleChanged","set collaborator",
