Unique Method Stereotype,Method Count
predicate set,1
get set factory,1
property set collaborator,3
void-accessor set,2
predicate set collaborator,1
get property set collaborator,2
factory wrapper,2
predicate controller,6
void-accessor command collaborator,62
property factory collaborator,27
property non-void-command,75
property non-void-command factory collaborator,22
get,150
collaborator incidental,37
get property non-void-command collaborator,7
get controller,1
get collaborator,77
predicate wrapper,22
wrapper stateless,174
property non-void-command collaborator,339
property controller,31
collaborator stateless,8
set,78
constructor,1081
non-void-command factory collaborator,25
controller stateless,163
copy-constructor,51
incidental,48
factory collaborator stateless,10
predicate collaborator,7
factory wrapper stateless,9
predicate non-void-command collaborator,56
wrapper,86
controller,56
factory collaborator,3
get set,13
non-void-command factory,3
unclassified,7
property wrapper,33
get non-void-command collaborator,4
empty,15
get property controller,1
factory controller,11
command,251
property factory wrapper,3
predicate,10
non-void-command collaborator,107
get non-void-command,4
get property wrapper,1
void-accessor set collaborator,3
get wrapper,9
get set collaborator,12
property factory,23
void-accessor wrapper,4
predicate non-void-command,36
command collaborator,377
property,12
set collaborator,82
non-void-command,18
property set factory collaborator,3
property factory controller,4
get set factory collaborator,42
void-accessor controller,4
set factory collaborator,4
collaborator,2
property collaborator,27
stateless,7
get non-void-command factory collaborator,1
factory controller stateless,15
void-accessor command,15
Total,3886
