Unique Method Stereotype,Method Count
predicate set collaborator,4
void-accessor set,1
get property,2
get property non-void-command collaborator,8
factory wrapper,2
predicate wrapper,4
collaborator stateless,69
destructor,8
get predicate,3
factory wrapper stateless,17
predicate collaborator,9
property non-void-command factory collaborator,76
property non-void-command,461
factory collaborator,4
controller,87
void-accessor collaborator,3
copy-constructor,54
incidental,524
get,348
collaborator incidental,283
predicate,30
property non-void-command collaborator,688
property controller,49
predicate controller,8
wrapper stateless,301
predicate non-void-command,29
void-accessor wrapper,1
constructor,1844
set,377
property wrapper,66
get non-void-command collaborator,12
non-void-command factory collaborator,41
controller stateless,230
get collaborator,295
predicate non-void-command collaborator,190
wrapper,45
non-void-command collaborator,86
get non-void-command,15
property,79
command collaborator,734
get set collaborator,27
command,395
property factory wrapper,6
set collaborator,277
non-void-command,12
empty,152
factory controller,12
factory collaborator incidental,6
property set,10
factory collaborator stateless,85
get set factory,1
property set collaborator,12
property collaborator,108
stateless,103
void-accessor set collaborator,4
get property collaborator,3
get property non-void-command,2
void-accessor command,2
factory controller stateless,26
get property non-void-command factory collaborator,2
unclassified,7
property factory collaborator,58
property factory controller,6
get set factory collaborator,15
void-accessor controller,4
void-accessor command collaborator,23
get non-void-command factory collaborator,4
property set factory collaborator,5
non-void-command factory,1
get set,7
get factory collaborator,4
collaborator,8
set factory collaborator,3
Total,8477
