Unique Method Stereotype,Method Count
get property set,1
predicate collaborator,5
factory stateless,1
get property non-void-command,1
incidental,28
factory wrapper,2
property factory collaborator,20
property wrapper,63
get non-void-command collaborator,7
predicate wrapper,9
property,1
command collaborator,51
collaborator incidental,66
get property non-void-command collaborator,3
get,7
property non-void-command factory collaborator,264
property collaborator,31
property non-void-command,14
get set collaborator,11
factory controller stateless,47
constructor,982
predicate controller,6
property non-void-command collaborator,538
non-void-command,1
set collaborator,22
property controller,142
property factory wrapper,19
command,32
empty,21
factory controller,5
predicate non-void-command collaborator,30
wrapper,44
get set,3
void-accessor command collaborator,15
copy-constructor,103
void-accessor collaborator,2
wrapper stateless,474
non-void-command factory collaborator,71
controller stateless,1904
controller,94
factory collaborator,11
get property non-void-command factory collaborator,1
set factory collaborator,2
collaborator,42
factory wrapper stateless,8
get controller,1
get collaborator,5
set,46
get property set collaborator,3
property set collaborator,3
predicate non-void-command,11
get non-void-command factory collaborator,1
factory collaborator incidental,5
property factory controller,16
get set factory collaborator,2
void-accessor controller,1
property set factory collaborator,9
predicate,3
factory collaborator stateless,2
collaborator stateless,26
property non-void-command factory,3
get property wrapper,1
non-void-command collaborator,997
get non-void-command,2
get predicate non-void-command collaborator,1
get property,2
Total,6344
