Unique Method Stereotype,Method Count
get property,1
get property wrapper,1
factory,2
get property factory wrapper,1
get property non-void-command factory collaborator,1
destructor,3
get wrapper,2
get non-void-command,5
void-accessor set,2
void-accessor controller,5
void-accessor command,12
factory controller stateless,1
get,78
collaborator incidental,9
get property non-void-command collaborator,6
property non-void-command,48
predicate set,7
property non-void-command factory collaborator,10
collaborator,2
controller,5
incidental,37
factory collaborator stateless,13
predicate non-void-command collaborator,18
wrapper,10
wrapper stateless,19
non-void-command factory collaborator,2
controller stateless,33
get controller,1
get collaborator,35
non-void-command,2
set collaborator,57
property non-void-command collaborator,41
property controller,9
predicate wrapper,9
command,163
property set,7
set,56
constructor,134
void-accessor command collaborator,3
copy-constructor,3
void-accessor collaborator,2
factory wrapper stateless,5
void-accessor,2
predicate collaborator,6
predicate set collaborator,3
factory controller,1
empty,2
property wrapper,13
get non-void-command collaborator,6
command collaborator,164
property,22
property factory,4
predicate non-void-command,22
property set collaborator,7
property collaborator,4
stateless,3
predicate controller,3
get property non-void-command factory,2
property factory collaborator,1
get property non-void-command,3
get property collaborator,3
void-accessor set collaborator,1
get set collaborator,3
predicate,7
property set factory collaborator,1
property non-void-command factory,3
collaborator stateless,1
Total,1147
