Class Name,Class Stereotype,Method Name,Method Stereotype
"WebSocketFrame","data-provider","WebSocketFrame","constructor",
"WebSocketFrame","data-provider","WebSocketFrame","constructor",
"WebSocketFrame","data-provider","WebSocketFrame","constructor",
"WebSocketFrame","data-provider","WebSocketFrame","constructor",
"WebSocketFrame","data-provider","WebSocketFrame","constructor",
"WebSocketFrame","data-provider","Unmask","command",
"WebSocketFrame","data-provider","GetEnumerator","property non-void-command collaborator",
"WebSocketFrame","data-provider","Print","wrapper stateless",
"WebSocketFrame","data-provider","PrintToString","wrapper stateless",
"WebSocketFrame","data-provider","ToArray","property non-void-command collaborator",
"WebSocketFrame","data-provider","ToString","property non-void-command",
"WebSocketFrame","data-provider","IEnumerable.GetEnumerator","property non-void-command collaborator",
"WebSocketFrame","data-provider","get","property",
"WebSocketFrame","data-provider","get","property non-void-command",
"WebSocketFrame","data-provider","get","get",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","predicate",
"WebSocketFrame","data-provider","get","property",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","get",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","get",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketFrame","data-provider","get","get collaborator",
"WebSocketException","data-provider boundary data-class small-class","WebSocketException","constructor",
"WebSocketException","data-provider boundary data-class small-class","WebSocketException","constructor",
"WebSocketException","data-provider boundary data-class small-class","WebSocketException","constructor",
"WebSocketException","data-provider boundary data-class small-class","WebSocketException","constructor",
"WebSocketException","data-provider boundary data-class small-class","WebSocketException","constructor",
"WebSocketException","data-provider boundary data-class small-class","WebSocketException","constructor",
"WebSocketException","data-provider boundary data-class small-class","WebSocketException","constructor",
"WebSocketException","data-provider boundary data-class small-class","WebSocketException","constructor",
"WebSocketException","data-provider boundary data-class small-class","get","get collaborator",
"WebSocket","boundary","WebSocket","constructor",
"WebSocket","boundary","WebSocket","copy-constructor",
"WebSocket","boundary","WebSocket","copy-constructor",
"WebSocket","boundary","WebSocket","constructor",
"WebSocket","boundary","accept","predicate non-void-command collaborator",
"WebSocket","boundary","acceptHandshake","predicate non-void-command collaborator",
"WebSocket","boundary","canSet","predicate",
"WebSocket","boundary","checkHandshakeRequest","predicate collaborator",
"WebSocket","boundary","checkHandshakeResponse","predicate non-void-command collaborator",
"WebSocket","boundary","checkReceivedFrame","predicate collaborator",
"WebSocket","boundary","close","command collaborator",
"WebSocket","boundary","close","command collaborator",
"WebSocket","boundary","closeAsync","command collaborator",
"WebSocket","boundary","closeAsync","controller stateless",
"WebSocket","boundary","closeHandshake","predicate non-void-command collaborator",
"WebSocket","boundary","closeHandshake","predicate non-void-command collaborator",
"WebSocket","boundary","connect","predicate non-void-command collaborator",
"WebSocket","boundary","createExtensions","property non-void-command collaborator",
