Class Name,Class Stereotype,Method Name,Method Stereotype
"NamedTypeSymbolStringComparer","entity boundary small-class","Equals","wrapper stateless",
"NamedTypeSymbolStringComparer","entity boundary small-class","GetHashCode","property non-void-command collaborator",
"BuildTargets","entity boundary","BuildTargets","constructor",
"BuildTargets","entity boundary","Remove","command collaborator",
"BuildTargets","entity boundary","RemoveAfter","command collaborator",
"BuildTargets","entity boundary","DependsOn","predicate non-void-command collaborator",
"BuildTargets","entity boundary","get","property non-void-command",
"Generator","controller degenerate","Generator","constructor",
"Generator","controller degenerate","Build","non-void-command collaborator",
"Generator","controller degenerate","SkipNamespace","controller stateless",
"Generator","controller degenerate","GetNamespaceBasePath","controller stateless",
"Generator","controller degenerate","GetAllSymbols","property non-void-command factory collaborator",
"Generator","controller degenerate","GetAllGetNonGeneratedMembers","factory wrapper stateless",
"Generator","controller degenerate","SkippedType","predicate controller",
"Generator","controller degenerate","BuildInterfaceImplementations","controller stateless",
"DocGenerator","commander boundary small-class","Build","non-void-command collaborator",
"ContentPropertyAttributeDescription","degenerate small-class","TryGenerateAttributeParameters","collaborator incidental",
"ContentPropertyAttributeDescription","degenerate small-class","CanHandle","incidental",
"AttributeUsageAttributeDescription","pure-controller degenerate small-class","TryGenerateAttributeParameters","controller stateless",
"ColorOffset","empty","ColorOffset","constructor",
"WindowsLauncherExtension","degenerate small-class","WindowsLauncherExtension","constructor",
"WindowsLauncherExtension","degenerate small-class","LaunchUriAsync","controller stateless",
"WindowsLauncherExtension","degenerate small-class","QueryUriSupportAsync","wrapper stateless",
"PowerSaveModeChangeReceiver","boundary degenerate small-class","OnReceive","wrapper stateless",
"DesktopFile","commander boundary small-class","DesktopFile","constructor",
"DesktopFile","commander boundary small-class","DesktopFile","constructor",
"DesktopFile","commander boundary small-class","ParseFile","command collaborator",
"TemporaryFile","entity","TemporaryFile","constructor",
"TemporaryFile","entity","Open","property non-void-command factory collaborator",
"TemporaryFile","entity","OpenWeak","property non-void-command factory collaborator",
"TemporaryFile","entity","OnStrongStreamedClosed","command",
"TemporaryFile","entity","CheckIsActive","wrapper",
"StreamedOutputStream","empty","StreamedOutputStream","constructor",
"StreamedOutputStream","empty","StreamedOutputStream","constructor",
"StreamedInputStream","commander small-class","StreamedInputStream","constructor",
"StreamedInputStream","commander small-class","StreamedInputStream","constructor",
"StreamedInputStream","commander small-class","OnDataLoaded","command collaborator",
"StreamedInputStream","commander small-class","Dispose","command",
"StreamOverBuffer","commander lazy-class","StreamOverBuffer","constructor",
"StreamOverBuffer","commander lazy-class","Flush","empty",
"StreamOverBuffer","commander lazy-class","SetLength","set",
"StreamOverBuffer","commander lazy-class","Read","property non-void-command collaborator",
"StreamOverBuffer","commander lazy-class","Write","incidental",
"StreamOverBuffer","commander lazy-class","set","set",
"StreamAccessScope","entity boundary small-class","Begin","property non-void-command collaborator",
"StreamAccessScope","entity boundary small-class","BeginAsync","property non-void-command collaborator",
"SecurityScopeStreamWrapper","commander small-class","SecurityScopeStreamWrapper","constructor",
"SecurityScopeStreamWrapper","commander small-class","Close","command",
"SecurityScopeStreamWrapper","commander small-class","Dispose","set",
"IFileSavePickerExtension","degenerate small-class","Customize","empty",
"WebAuthenticationBrokerProvider","minimal-entity boundary","GetApplicationCustomSchemes","get set collaborator",
"WebAuthenticationBrokerProvider","minimal-entity boundary","OnResumeCallback","predicate non-void-command collaborator",
"WebAuthenticationBrokerProvider","minimal-entity boundary","AuthenticateAsyncCore","property non-void-command collaborator",
"WebAuthenticationBrokerProvider","minimal-entity boundary","StartCustomTabsActivity","controller stateless",
"WebAuthenticationBrokerActivityBase","commander boundary small-class","OnCreate","command collaborator",
"NetworkCallbackListener","commander boundary","NetworkCallbackListener","constructor",
"NetworkCallbackListener","commander boundary","OnAvailable","command collaborator",
"NetworkCallbackListener","commander boundary","OnCapabilitiesChanged","command collaborator",
"NetworkCallbackListener","commander boundary","OnLinkPropertiesChanged","command collaborator",
"NetworkCallbackListener","commander boundary","OnLosing","command",
"NetworkCallbackListener","commander boundary","OnLost","command collaborator",
"NetworkCallbackListener","commander boundary","OnUnavailable","command",
"ConnectivityChangeBroadcastReceiver","boundary degenerate small-class","OnReceive","wrapper stateless",
"IconId","empty","IconId","constructor",
"SpeechRecognitionListener","boundary","OnBeginningOfSpeech","wrapper",
"SpeechRecognitionListener","boundary","OnBufferReceived","empty",
"SpeechRecognitionListener","boundary","OnEndOfSpeech","wrapper",
"SpeechRecognitionListener","boundary","OnError","wrapper",
"SpeechRecognitionListener","boundary","OnEvent","empty",
"SpeechRecognitionListener","boundary","OnReadyForSpeech","wrapper",
"SpeechRecognitionListener","boundary","OnPartialResults","command collaborator",
"SpeechRecognitionListener","boundary","OnResults","command collaborator",
"SpeechRecognitionListener","boundary","OnRmsChanged","wrapper",
"SpeechRecognitionListener","boundary","SendResults","controller stateless",
"MediaPlaybackSourceConverter","entity boundary","CanConvertFrom","predicate non-void-command collaborator",
"MediaPlaybackSourceConverter","entity boundary","CanConvertTo","predicate non-void-command collaborator",
"MediaPlaybackSourceConverter","entity boundary","ConvertFrom","property non-void-command collaborator",
"MediaPlaybackSourceConverter","entity boundary","ConvertTo","property non-void-command collaborator",
"AudioPlayerBroadcastReceiver","boundary small-class","AudioPlayerBroadcastReceiver","constructor",
"AudioPlayerBroadcastReceiver","boundary small-class","OnReceive","wrapper",
"EventLoop","empty","EventLoop","constructor",
"DisplayMetricsCache","boundary degenerate small-class","DisplayMetricsCache","constructor",
"DisplayMetricsCache","boundary degenerate small-class","DisplayMetricsCache","constructor",
"DisplayMetricsCache","boundary degenerate small-class","ConvertIntToDensityEnum","collaborator incidental",
"WebViewControlSettings","boundary degenerate","WebViewControlSettings","constructor",
"WebViewControlSettings","boundary degenerate","get","wrapper stateless",
"WebViewControlSettings","boundary degenerate","set","wrapper stateless",
"WebViewControlSettings","boundary degenerate","get","wrapper stateless",
"WebViewControlSettings","boundary degenerate","set","wrapper stateless",
"WebViewControlSettings","boundary degenerate","get","wrapper stateless",
"WebViewControlSettings","boundary degenerate","set","wrapper stateless",
"WebViewControlScriptNotifyEventArgs","boundary degenerate small-class","WebViewControlScriptNotifyEventArgs","constructor",
"WebViewControlScriptNotifyEventArgs","boundary degenerate small-class","get","wrapper stateless",
"WebViewControlScriptNotifyEventArgs","boundary degenerate small-class","get","wrapper stateless",
"WebViewControlPermissionRequestedEventArgs","boundary degenerate small-class","WebViewControlPermissionRequestedEventArgs","constructor",
"WebViewControlPermissionRequestedEventArgs","boundary degenerate small-class","get","wrapper stateless",
"WebViewControlPermissionRequest","boundary degenerate","WebViewControlPermissionRequest","constructor",
"WebViewControlPermissionRequest","boundary degenerate","Defer","wrapper stateless",
"WebViewControlPermissionRequest","boundary degenerate","Allow","wrapper stateless",
"WebViewControlPermissionRequest","boundary degenerate","Deny","wrapper stateless",
"WebViewControlPermissionRequest","boundary degenerate","get","wrapper stateless",
"WebViewControlPermissionRequest","boundary degenerate","get","wrapper stateless",
"WebViewControlPermissionRequest","boundary degenerate","get","wrapper stateless",
"WebViewControlPermissionRequest","boundary degenerate","get","wrapper stateless",
"WebViewControlNewWindowRequestedEventArgs","boundary degenerate","WebViewControlNewWindowRequestedEventArgs","constructor",
"WebViewControlNewWindowRequestedEventArgs","boundary degenerate","GetDeferral","wrapper stateless",
"WebViewControlNewWindowRequestedEventArgs","boundary degenerate","get","wrapper stateless",
"WebViewControlNewWindowRequestedEventArgs","boundary degenerate","set","wrapper stateless",
"WebViewControlNewWindowRequestedEventArgs","boundary degenerate","get","wrapper stateless",
"WebViewControlNewWindowRequestedEventArgs","boundary degenerate","get","wrapper stateless",
"WebViewControlNewWindowRequestedEventArgs","boundary degenerate","get","wrapper stateless",
"WebViewControlNewWindowRequestedEventArgs","boundary degenerate","set","wrapper stateless",
"WebViewControlDeferredPermissionRequest","boundary degenerate","WebViewControlDeferredPermissionRequest","constructor",
"WebViewControlDeferredPermissionRequest","boundary degenerate","Allow","wrapper stateless",
"WebViewControlDeferredPermissionRequest","boundary degenerate","Deny","wrapper stateless",
"WebViewControlDeferredPermissionRequest","boundary degenerate","get","wrapper stateless",
"WebViewControlDeferredPermissionRequest","boundary degenerate","get","wrapper stateless",
"WebViewControlDeferredPermissionRequest","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","SyndicationPerson","constructor",
"SyndicationPerson","boundary degenerate","SyndicationPerson","constructor",
"SyndicationPerson","boundary degenerate","SyndicationPerson","constructor",
"SyndicationPerson","boundary degenerate","GetXmlDocument","wrapper stateless",
"SyndicationPerson","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","set","wrapper stateless",
"SyndicationPerson","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","set","wrapper stateless",
"SyndicationPerson","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","set","wrapper stateless",
"SyndicationPerson","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","set","wrapper stateless",
"SyndicationPerson","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","set","wrapper stateless",
"SyndicationPerson","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","set","wrapper stateless",
"SyndicationPerson","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","set","wrapper stateless",
"SyndicationPerson","boundary degenerate","get","wrapper stateless",
"SyndicationPerson","boundary degenerate","set","wrapper stateless",
"SyndicationFeed","boundary degenerate","SyndicationFeed","constructor",
"SyndicationFeed","boundary degenerate","SyndicationFeed","constructor",
"SyndicationFeed","boundary degenerate","Load","wrapper stateless",
"SyndicationFeed","boundary degenerate","LoadFromXml","wrapper stateless",
"SyndicationFeed","boundary degenerate","GetXmlDocument","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","set","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","set","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","set","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","set","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","set","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","set","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","set","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","set","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
"SyndicationFeed","boundary degenerate","get","wrapper stateless",
