Unique Method Stereotype,Method Count
get non-void-command factory collaborator,2
destructor,1
non-void-command,1
get wrapper,1
void-accessor set collaborator,1
get set collaborator,3
get collaborator,2
property set collaborator,1
stateless,4
factory collaborator stateless,5
get set,1
wrapper,61
controller stateless,19
predicate controller,1
non-void-command factory collaborator,5
predicate non-void-command,6
predicate wrapper,5
non-void-command collaborator,15
get property non-void-command collaborator,1
get,8
collaborator incidental,37
command,41
factory controller,1
empty,36
constructor,186
set,31
set factory collaborator,1
collaborator stateless,24
void-accessor command collaborator,4
wrapper stateless,71
property,4
property factory collaborator,3
factory collaborator incidental,3
copy-constructor,7
incidental,9
predicate non-void-command collaborator,13
controller,6
predicate collaborator,2
factory wrapper stateless,5
factory controller stateless,2
property wrapper,5
get property factory wrapper,1
property non-void-command,3
property non-void-command factory collaborator,2
command collaborator,75
property controller,1
property non-void-command collaborator,29
set collaborator,19
Total,764
