Class Name,Class Stereotype,Method Name,Method Stereotype
"TransitionAnimationProviderTests","boundary degenerate small-class","ApplyTransition_ReturnsFalse_WhenDurationIsLessThan10","wrapper stateless",
"TransitionAnimationProviderTests","boundary degenerate small-class","ApplyTransition_ReturnsFalse_WhenElementIsNull","wrapper stateless",
"UnitTest1","degenerate small-class","Test1","empty",
"Utilities","degenerate small-class","get","incidental",
"UiApplication","boundary","UiApplication","constructor",
"UiApplication","boundary","TryFindResource","collaborator incidental",
"UiApplication","boundary","Shutdown","command",
"UiApplication","boundary","get","get factory wrapper",
"UiApplication","boundary","set","non-void-command collaborator",
"UiApplication","boundary","get","get collaborator",
"UiApplication","boundary","set","non-void-command collaborator",
"ThemeService","boundary degenerate small-class","GetSystemTheme","wrapper stateless",
"SymbolExtensionsTests","pure-controller degenerate","GivenAllRegularSymbols_Swap_ReturnsValidFilledSymbol","controller stateless",
"SymbolExtensionsTests","pure-controller degenerate","GivenAllFilledSymbols_Swap_ReturnsValidRegularSymbol","controller stateless",
"SymbolExtensionsTests","pure-controller degenerate","GivenAllRegularSymbols_GetString_ReturnsValidString","controller stateless",
"SymbolExtensionsTests","pure-controller degenerate","GivenAllFilledSymbols_GetString_ReturnsValidString","controller stateless",
"TaskBarService","boundary degenerate","GetState","collaborator incidental",
"TaskBarService","boundary degenerate","GetState","wrapper stateless",
"TaskBarService","boundary degenerate","SetState","wrapper stateless",
"TaskBarService","boundary degenerate","SetValue","wrapper stateless",
"TaskBarService","boundary degenerate","SetValue","wrapper stateless",
"TaskBarService","boundary degenerate","SetState","wrapper stateless",
"TaskBarService","boundary degenerate","SetValue","wrapper stateless",
"TaskBarService","boundary degenerate","SetValue","wrapper stateless",
"ImageIconExtension","entity factory controller small-class","ImageIconExtension","constructor",
"ImageIconExtension","entity factory controller small-class","ProvideValue","property non-void-command factory collaborator",
"FontIconExtension","entity factory controller small-class","FontIconExtension","constructor",
"FontIconExtension","entity factory controller small-class","FontIconExtension","constructor",
"FontIconExtension","entity factory controller small-class","ProvideValue","property non-void-command factory collaborator",
"ControlsDictionary","empty","ControlsDictionary","constructor",
"RECTL","unclassified","Offset","command",
"RECTL","unclassified","Equals","predicate collaborator",
"RECTL","unclassified","GetHashCode","property non-void-command",
"RECTL","unclassified","get","get",
"RECTL","unclassified","set","set",
"RECTL","unclassified","get","get",
"RECTL","unclassified","set","set",
"RECTL","unclassified","get","get",
"RECTL","unclassified","set","set",
"RECTL","unclassified","get","get",
"RECTL","unclassified","set","set",
"RECTL","unclassified","get","property",
"RECTL","unclassified","get","property",
"RECTL","unclassified","get","property factory collaborator",
"RECTL","unclassified","get","factory collaborator incidental",
"DisplayDpi","empty","DisplayDpi","constructor",
"DisplayDpi","empty","DisplayDpi","constructor",
"TextToAsteriskConverter","degenerate small-class","Convert","factory wrapper stateless",
"TextToAsteriskConverter","degenerate small-class","ConvertBack","wrapper stateless",
"RightSplitThicknessConverter","degenerate small-class","Convert","factory wrapper stateless",
"RightSplitThicknessConverter","degenerate small-class","ConvertBack","wrapper stateless",
"RightSplitCornerRadiusConverter","degenerate small-class","Convert","factory wrapper stateless",
"RightSplitCornerRadiusConverter","degenerate small-class","ConvertBack","wrapper stateless",
"LeftSplitCornerRadiusConverter","degenerate small-class","Convert","factory wrapper stateless",
"LeftSplitCornerRadiusConverter","degenerate small-class","ConvertBack","wrapper stateless",
"IconSourceElementConverter","boundary degenerate small-class","Convert","wrapper stateless",
"IconSourceElementConverter","boundary degenerate small-class","ConvertBack","wrapper stateless",
"FallbackBrushConverter","boundary degenerate small-class","Convert","wrapper stateless",
"BrushToColorConverter","degenerate small-class","Convert","factory collaborator incidental",
"BrushToColorConverter","degenerate small-class","ConvertBack","wrapper stateless",
"VirtualizingWrapPanel","boundary","OnOrientationChanged","set",
"VirtualizingWrapPanel","boundary","MeasureOverride","property non-void-command collaborator",
"VirtualizingWrapPanel","boundary","UpdateChildSize","void-accessor command collaborator",
"VirtualizingWrapPanel","boundary","CalculateChildSize","factory controller stateless",
"VirtualizingWrapPanel","boundary","CalculateExtent","property wrapper",
"VirtualizingWrapPanel","boundary","CalculateSpacing","void-accessor command collaborator",
"VirtualizingWrapPanel","boundary","ArrangeOverride","property non-void-command collaborator",
"VirtualizingWrapPanel","boundary","CalculateChildArrangeSize","get property factory wrapper",
"VirtualizingWrapPanel","boundary","ReadItemContainerStyle<T>","wrapper stateless",
"VirtualizingWrapPanel","boundary","UpdateItemRange","property non-void-command factory collaborator",
"VirtualizingWrapPanel","boundary","GetRowIndex","property wrapper",
"VirtualizingWrapPanel","boundary","BringIndexIntoView","wrapper",
"VirtualizingItemsControl","boundary small-class","VirtualizingItemsControl","constructor",
"VirtualizingItemsControl","boundary small-class","set","wrapper",
"TreeGridHeader","pure-controller small-class","OnTitleChanged","controller",
"TitleBarButton","commander","TitleBarButton","constructor",
"TitleBarButton","commander","TitleBarButton_Unloaded","wrapper",
"TitleBarButton","commander","TitleBarButton_Loaded","wrapper",
"TitleBarButton","commander","OnButtonsForegroundChanged","wrapper",
"TitleBarButton","commander","Hover","set",
"TitleBarButton","commander","RemoveHover","command",
"TitleBarButton","commander","InvokeClick","set",
"TitleBarButton","commander","ReactToHwndHook","predicate",
"TitleBarButton","commander","OnButtonTypeChanged","set collaborator",
"TitleBar","commander boundary","TitleBar","constructor",
"TitleBar","commander boundary","OnInitialized","command collaborator",
"TitleBar","commander boundary","OnLoaded","command collaborator",
"TitleBar","commander boundary","OnUnloaded","collaborator incidental",
"TitleBar","commander boundary","OnApplyTemplate","command collaborator",
"TitleBar","commander boundary","OnThemeChanged","wrapper",
"TitleBar","commander boundary","CloseWindow","command",
"TitleBar","commander boundary","MinimizeWindow","command",
"TitleBar","commander boundary","MaximizeWindow","command",
"TitleBar","commander boundary","OnParentWindowStateChanged","wrapper",
"TitleBar","commander boundary","OnTemplateButtonClick","command collaborator",
"TitleBar","commander boundary","OnWindowContentRendered","controller stateless",
"TitleBar","commander boundary","HwndSourceHook","property non-void-command",
"TitleBar","commander boundary","TitleBar_MouseRightButtonUp","controller",
"TitleBar","commander boundary","GetTemplateChild<T>","wrapper stateless",
"ThumbRate","boundary small-class","ThumbRate","constructor",
"ThumbRate","boundary small-class","OnTemplateButtonClick","wrapper",
"ThumbRate","boundary small-class","OnStateChanged","wrapper",
"NavigationService","entity boundary","NavigationService","constructor",
"NavigationService","entity boundary","GetNavigationControl","property wrapper",
