Unique Method Stereotype,Method Count
property set factory collaborator,1
factory wrapper stateless,2
factory wrapper,5
get property non-void-command factory collaborator,3
unclassified,37
constructor,1822
get property,2
factory collaborator,9
controller,162
incidental,54
property non-void-command factory collaborator,36
property non-void-command,96
property collaborator,3168
set,125
void-accessor set collaborator,4
get property collaborator,20
property non-void-command collaborator,1205
property controller,222
get property controller,4
factory controller,31
empty,428
command,491
factory controller stateless,24
get collaborator,1119
get controller,111
get non-void-command,16
non-void-command collaborator,526
predicate wrapper,13
predicate controller,11
predicate non-void-command,20
non-void-command factory collaborator,56
controller stateless,648
property,54
command collaborator,745
get non-void-command collaborator,252
property wrapper,446
collaborator incidental,381
get,68
get property non-void-command collaborator,10
get wrapper,430
property factory collaborator,4
predicate non-void-command collaborator,42
wrapper,85
get set,44
get set collaborator,92
collaborator,261
set factory collaborator,4
get non-void-command factory collaborator,11
property factory controller,4
get set factory collaborator,6
wrapper stateless,951
destructor,181
predicate,86
predicate collaborator,69
void-accessor command collaborator,40
copy-constructor,156
void-accessor collaborator,56
predicate set collaborator,5
set collaborator,211
non-void-command,8
property set collaborator,76
get property wrapper,5
property set,1
Total,15255
