Unique Method Stereotype,Method Count
property non-void-command factory collaborator,2
get property non-void-command collaborator,2
get property,1
wrapper stateless,1196
collaborator incidental,96
get,260
get command collaborator,1
void-accessor command collaborator,38
property collaborator,416
property non-void-command,34
predicate set,20
property wrapper,283
get non-void-command collaborator,10
void-accessor collaborator,9
copy-constructor,61
incidental,79
controller,619
predicate,191
set collaborator,437
property non-void-command collaborator,269
property controller,214
void-accessor wrapper,17
predicate non-void-command,105
predicate wrapper,117
destructor,345
property set collaborator,63
predicate non-void-command collaborator,105
wrapper,545
set,211
constructor,951
empty,74
unclassified,36
property factory wrapper,10
command,434
collaborator,97
get collaborator,590
get controller,47
non-void-command collaborator,1772
get non-void-command,24
get property wrapper,4
command collaborator,531
property,93
predicate controller,55
controller stateless,1502
non-void-command factory collaborator,1
get wrapper,58
get predicate set collaborator,1
predicate collaborator,74
get set collaborator,34
get predicate non-void-command collaborator,1
get set,11
get predicate non-void-command,1
void-accessor command,9
void-accessor set,2
property set,6
predicate set collaborator,20
property command collaborator,19
void-accessor controller,9
property factory controller,2
get predicate collaborator,1
get property collaborator,3
void-accessor set collaborator,6
get property non-void-command,3
Total,12227
