Unique Class Stereotype,Class Count
entity boundary,1
boundary degenerate small-class,5
data-provider small-class,1
controller degenerate,1
data-provider boundary degenerate,1
unclassified,8
empty,33
data-provider data-class small-class,1
data-provider,2
pure-controller degenerate,1
boundary,3
data-provider boundary small-class,7
controller small-class,1
data-provider boundary,9
data-provider boundary data-class small-class,1
small-class,3
entity boundary small-class,6
degenerate,1
boundary degenerate,1
controller,2
pure-controller degenerate small-class,3
Total,91
