Unique Method Stereotype,Method Count
void-accessor command collaborator,4
get property wrapper,2
get non-void-command,20
get controller,2
property set collaborator,26
predicate set collaborator,4
get set collaborator,19
predicate non-void-command,18
void-accessor command,2
get wrapper,7
controller stateless,36
non-void-command collaborator,4
predicate wrapper,36
predicate collaborator,31
wrapper,22
get set,15
destructor,47
predicate,70
unclassified,42
command,95
empty,112
get collaborator,142
wrapper stateless,117
constructor,458
get property collaborator,4
set,59
property set,9
get,59
collaborator incidental,82
property,51
property non-void-command,12
property collaborator,123
predicate set,15
predicate non-void-command collaborator,14
incidental,145
copy-constructor,50
controller,49
command collaborator,263
property wrapper,94
get non-void-command collaborator,37
collaborator,34
property controller,23
set collaborator,38
property non-void-command collaborator,42
predicate controller,6
Total,2540
