Unique Method Stereotype,Method Count
factory stateless,1
get predicate set,4
get property controller,3
property non-void-command factory,1
get predicate non-void-command collaborator,3
get predicate,1
factory wrapper stateless,3
get property,3
get set factory,1
get property wrapper,9
get predicate collaborator,4
get command collaborator,4
get predicate set collaborator,1
void-accessor command collaborator,185
get non-void-command collaborator,55
property wrapper,94
collaborator incidental,229
get,146
get property non-void-command collaborator,13
predicate,185
controller stateless,282
non-void-command factory collaborator,6
predicate controller,22
property non-void-command collaborator,297
get void-accessor command collaborator,1
property controller,46
non-void-command,5
set collaborator,140
get wrapper,31
property collaborator,324
property non-void-command,40
predicate set,12
property non-void-command factory collaborator,15
get controller,2
get collaborator,280
incidental,110
void-accessor collaborator,25
copy-constructor,29
predicate set collaborator,11
unclassified,24
controller,55
factory collaborator,1
command,196
void-accessor,3
predicate collaborator,76
property set collaborator,35
destructor,151
get predicate non-void-command,4
get set,7
predicate non-void-command collaborator,149
wrapper,60
wrapper stateless,305
constructor,516
set,99
property,73
command collaborator,550
property command collaborator,10
non-void-command collaborator,1
get non-void-command,14
void-accessor set,4
property set,4
void-accessor wrapper,16
predicate non-void-command,57
empty,63
factory collaborator stateless,6
set factory collaborator,1
collaborator,9
predicate wrapper,25
get set collaborator,58
get property collaborator,9
void-accessor set collaborator,18
get property non-void-command,2
void-accessor command,43
factory controller stateless,10
void-accessor controller,20
property factory controller,1
property factory collaborator,6
Total,5304
