Unique Method Stereotype,Method Count
void-accessor set,1
get predicate non-void-command collaborator,1
get property,1
property non-void-command factory collaborator,3
get property non-void-command factory collaborator,1
collaborator incidental,114
get,55
get property non-void-command collaborator,35
predicate controller,31
property controller,58
property non-void-command collaborator,545
wrapper stateless,493
incidental,65
controller,46
property wrapper,88
get non-void-command collaborator,32
property non-void-command,49
predicate set,15
predicate wrapper,56
void-accessor wrapper,7
predicate non-void-command,163
set,136
void-accessor set collaborator,1
get property collaborator,9
constructor,303
get property controller,3
predicate,123
factory wrapper stateless,1
get predicate,1
predicate set collaborator,31
get set collaborator,19
command,340
unclassified,22
predicate non-void-command collaborator,399
wrapper,99
get non-void-command,20
get property wrapper,11
destructor,239
property,24
command collaborator,577
predicate collaborator,27
controller stateless,501
property command collaborator,1
get property command collaborator,1
property set collaborator,51
property collaborator,96
stateless,1
collaborator,15
get set,9
get predicate non-void-command,1
get predicate wrapper,2
get property set,1
property set factory collaborator,1
void-accessor command collaborator,45
copy-constructor,22
void-accessor collaborator,4
set collaborator,90
non-void-command,8
get wrapper,23
empty,36
get property set collaborator,3
void-accessor command,15
factory controller stateless,5
get collaborator,56
get controller,4
property set,6
property factory controller,1
get set factory collaborator,1
void-accessor controller,4
Total,5247
