Unique Class Stereotype,Class Count
lazy-class degenerate,1
degenerate small-class,4
entity minimal-entity boundary,1
pure-controller degenerate small-class,1
commander boundary small-class,3
data-provider boundary lazy-class,1
commander boundary data-class small-class,1
boundary data-class small-class,2
degenerate,6
entity boundary,40
unclassified,11
empty,140
entity commander boundary,1
boundary degenerate small-class,2
data-provider small-class,3
lazy-class,2
boundary,12
data-provider boundary small-class,21
commander,6
data-provider boundary data-class small-class,2
controller small-class,4
data-provider boundary,58
entity data-provider boundary,18
entity boundary small-class,3
small-class,3
commander small-class,17
data-provider,7
Total,370
