Unique Method Stereotype,Method Count
predicate wrapper,5
predicate controller,1
void-accessor command collaborator,2
unclassified,4
property set collaborator,3
get collaborator,18
command collaborator,131
void-accessor command,2
destructor,15
predicate collaborator,3
get set,2
wrapper,365
wrapper stateless,9
property collaborator,84
property non-void-command,13
property wrapper,76
predicate non-void-command,13
property,11
predicate set collaborator,1
controller stateless,15
command,74
empty,40
constructor,255
set,20
property non-void-command collaborator,38
property controller,6
set collaborator,116
get wrapper,2
predicate,20
copy-constructor,1
incidental,13
predicate non-void-command collaborator,10
controller,21
get property non-void-command collaborator,2
get,18
collaborator incidental,13
Total,1422
