Unique Class Stereotype,Class Count
boundary data-class small-class,2
data-provider data-class small-class,1
commander lazy-class small-class,1
boundary degenerate,5
controller,1
entity minimal-entity boundary,2
boundary lazy-class degenerate,2
controller small-class,2
unclassified,23
data-provider,10
data-provider boundary data-class small-class,3
data-provider boundary,10
pure-controller degenerate small-class,3
entity commander boundary,2
boundary degenerate small-class,1
data-provider small-class,7
commander boundary small-class,4
commander degenerate,1
empty,737
commander,15
data-provider boundary small-class,10
degenerate,6
boundary,17
entity boundary small-class,5
small-class,6
entity data-provider boundary,2
commander data-class,1
entity boundary degenerate,1
commander small-class,4
degenerate small-class,13
commander boundary,2
data-class small-class,6
entity boundary,3
factory controller small-class,13
factory degenerate small-class,2
boundary small-class,64
data-provider data-class,2
Total,989
