Unique Method Stereotype,Method Count
void-accessor controller,1
collaborator,1
get property non-void-command,1
get property,2
get non-void-command,3
get predicate,2
predicate,36
unclassified,6
empty,7
predicate non-void-command,3
get wrapper,1
wrapper stateless,18
property,13
command collaborator,43
get collaborator,20
wrapper,23
destructor,37
predicate collaborator,6
command,23
constructor,103
set,5
set collaborator,17
property non-void-command collaborator,15
non-void-command collaborator,4
predicate wrapper,6
get,7
collaborator incidental,1
controller stateless,10
predicate controller,6
get non-void-command collaborator,11
property wrapper,17
predicate set,2
property collaborator,19
predicate non-void-command collaborator,2
incidental,11
controller,84
copy-constructor,12
void-accessor command collaborator,1
void-accessor collaborator,1
void-accessor command,1
get set collaborator,4
Total,585
