Unique Class Stereotype,Class Count
commander boundary,1
boundary data-class small-class,1
data-provider small-class,1
entity commander boundary,2
boundary degenerate small-class,4
unclassified,1
empty,132
commander small-class,3
degenerate,2
degenerate small-class,3
pure-controller degenerate,1
boundary,3
commander boundary small-class,1
data-provider boundary small-class,3
entity boundary,2
data-provider,1
data-provider data-class small-class,1
entity boundary small-class,2
controller degenerate,1
Total,165
