Unique Class Stereotype,Class Count
data-provider boundary data-class,1
data-provider boundary,3
commander data-class small-class,1
entity data-provider boundary,2
data-provider,3
boundary degenerate small-class,8
boundary degenerate,1
boundary lazy-class degenerate,1
empty,96
unclassified,9
commander small-class,8
commander,1
commander boundary small-class,2
boundary,3
entity boundary,2
degenerate small-class,3
small-class,12
entity boundary small-class,3
data-class small-class,1
degenerate,3
Total,163
