Unique Method Stereotype,Method Count
property set collaborator,1
get wrapper,2
get set collaborator,1
non-void-command,1
empty,5
property set,1
predicate,14
command collaborator,15
predicate controller,2
predicate collaborator,1
factory wrapper stateless,2
factory controller stateless,1
controller stateless,11
constructor,83
set,9
command,36
unclassified,4
wrapper,14
destructor,18
get non-void-command,1
wrapper stateless,14
get non-void-command collaborator,1
property wrapper,12
predicate non-void-command,17
predicate wrapper,5
property controller,1
property non-void-command collaborator,13
set collaborator,3
predicate set collaborator,2
property,4
copy-constructor,3
controller,4
predicate non-void-command collaborator,11
incidental,13
get collaborator,6
get,6
collaborator incidental,8
property non-void-command factory collaborator,2
property collaborator,5
property non-void-command,5
predicate set,3
Total,360
