Unique Method Stereotype,Method Count
get property non-void-command,1
get property,2
factory controller stateless,1
get non-void-command,3
void-accessor controller,2
collaborator,19
factory collaborator stateless,2
get set factory,4
get wrapper,8
void-accessor command,1
predicate,16
predicate wrapper,5
non-void-command collaborator,18
get set,3
wrapper,4
void-accessor wrapper,3
wrapper stateless,31
get property collaborator,1
set,43
constructor,183
destructor,58
predicate collaborator,30
controller stateless,149
get collaborator,192
get non-void-command collaborator,6
property wrapper,26
predicate non-void-command,31
property controller,23
set collaborator,100
property non-void-command collaborator,96
command collaborator,185
command,114
empty,26
property,43
copy-constructor,14
incidental,23
predicate non-void-command collaborator,83
controller,13
factory collaborator incidental,2
collaborator incidental,60
get,100
get property non-void-command collaborator,6
predicate set collaborator,4
get factory collaborator,1
predicate controller,27
predicate set,3
property collaborator,114
property non-void-command,24
property non-void-command factory collaborator,3
unclassified,4
factory collaborator,2
void-accessor collaborator,6
void-accessor command collaborator,8
void-accessor,5
Total,1931
