Unique Class Stereotype,Class Count
minimal-entity boundary,1
entity data-provider boundary small-class,1
pure-controller degenerate,1
commander boundary small-class,1
lazy-class degenerate,1
commander data-class small-class,1
boundary small-class,1
controller,1
data-provider degenerate,1
data-class,1
commander boundary,69
boundary degenerate,5
data-provider boundary data-class small-class,1
data-provider boundary,78
small-class,8
entity boundary small-class,6
controller small-class,1
unclassified,55
boundary degenerate small-class,6
commander lazy-class degenerate,1
data-provider small-class,15
data-provider,21
data-provider data-class small-class,3
data-provider boundary small-class,12
empty,373
commander,20
minimal-entity commander boundary,1
entity commander boundary,9
pure-controller degenerate small-class,9
entity boundary,24
data-class small-class,1
pure-controller small-class,2
boundary,52
degenerate,12
entity data-provider boundary,7
commander boundary degenerate,2
commander small-class,10
boundary data-class small-class,1
data-provider lazy-class degenerate,1
data-provider boundary degenerate,2
degenerate small-class,2
boundary lazy-class,1
Total,820
