Class Name,Class Stereotype,Method Name,Method Stereotype
"TablePrinter","boundary lazy-class","TablePrinter","constructor",
"TablePrinter","boundary lazy-class","columnInfos","get collaborator",
"TablePrinter","boundary lazy-class","open","set collaborator",
"TablePrinter","boundary lazy-class","close","set",
"TablePrinter","boundary lazy-class","operator<<","collaborator incidental",
"TablePrinter","boundary lazy-class","operator<<","controller stateless",
"TablePrinter","boundary lazy-class","operator<<","incidental",
"TestHasher","data-provider boundary small-class","TestHasher","constructor",
"TestHasher","data-provider boundary small-class","operator()","property collaborator",
"DebugOutStream","data-provider boundary data-class small-class","DebugOutStream","constructor",
"DebugOutStream","data-provider boundary data-class small-class","stream","get collaborator",
"CoutStream","data-provider boundary data-class small-class","CoutStream","constructor",
"CoutStream","data-provider boundary data-class small-class","stream","get collaborator",
"StreamBufImpl","small-class","StreamBufImpl","constructor",
"StreamBufImpl","small-class","~StreamBufImpl","destructor",
"StreamBufImpl","small-class","overflow","property non-void-command",
"StreamBufImpl","small-class","sync","wrapper stateless",
"Version","empty","Version::Version","copy-constructor",
"Session","entity boundary","run","property non-void-command collaborator",
"Session","entity boundary","Session::Session","constructor",
"Session","entity boundary","Session::~Session","destructor",
"Session","entity boundary","Session::showHelp","wrapper",
"Session","entity boundary","Session::libIdentify","wrapper stateless",
"Session","entity boundary","Session::applyCommandLine","property non-void-command collaborator",
"Session","entity boundary","Session::applyCommandLine","property non-void-command",
"Session","entity boundary","Session::useConfigData","set collaborator",
"Session","entity boundary","Session::run","property non-void-command",
"Session","entity boundary","Session::cli","get collaborator",
"Session","entity boundary","Session::cli","set collaborator",
"Session","entity boundary","Session::configData","get collaborator",
"Session","entity boundary","Session::config","get set collaborator",
"Session","entity boundary","Session::runInternal","property non-void-command collaborator",
"RegistryHub","entity boundary","getReporterRegistry","get collaborator",
"RegistryHub","entity boundary","getTestCaseRegistry","get collaborator",
"RegistryHub","entity boundary","getExceptionTranslatorRegistry","get collaborator",
"RegistryHub","entity boundary","getTagAliasRegistry","get collaborator",
"RegistryHub","entity boundary","getStartupExceptionRegistry","get collaborator",
"RegistryHub","entity boundary","registerReporter","void-accessor command collaborator",
"RegistryHub","entity boundary","registerListener","void-accessor command collaborator",
"RegistryHub","entity boundary","registerTest","void-accessor command collaborator",
"RegistryHub","entity boundary","registerTranslator","void-accessor command collaborator",
"RegistryHub","entity boundary","registerTagAlias","void-accessor command collaborator",
"RegistryHub","entity boundary","registerStartupException","command",
"RegistryHub","entity boundary","getMutableEnumValuesRegistry","get collaborator",
"ISingleton","empty","ISingleton::~ISingleton","destructor",
"StartupExceptionRegistry","entity boundary small-class","StartupExceptionRegistry::add","void-accessor command collaborator",
"StartupExceptionRegistry","entity boundary small-class","StartupExceptionRegistry::getExceptions","get collaborator",
"TagAliasRegistry","data-provider","TagAliasRegistry::~TagAliasRegistry","destructor",
"TagAliasRegistry","data-provider","TagAliasRegistry::find","property collaborator",
"TagAliasRegistry","data-provider","TagAliasRegistry::expandAliases","property controller",
"TagAliasRegistry","data-provider","TagAliasRegistry::add","void-accessor command collaborator",
"TagAlias","empty","TagAlias::TagAlias","constructor",
"TestInvokerAsFunction","empty","TestInvokerAsFunction::TestInvokerAsFunction","constructor",
"TempFile","small-class","TempFile::TempFile","constructor",
"TempFile","small-class","TempFile::TempFile","constructor",
"TempFile","small-class","TempFile::~TempFile","destructor",
"TempFile","small-class","TempFile::getFile","get collaborator",
"TempFile","small-class","TempFile::getContents","property controller",
"RedirectedStdErr","data-provider small-class","RedirectedStdErr::RedirectedStdErr","constructor",
"RedirectedStdErr","data-provider small-class","RedirectedStdErr::str","property",
"Win32ColourImpl","commander boundary small-class","Win32ColourImpl","constructor",
"Win32ColourImpl","commander boundary small-class","use","command collaborator",
"Win32ColourImpl","commander boundary small-class","setTextAttribute","wrapper",
"Parser","boundary","operator|=","get set collaborator",
"Parser","boundary","operator|=","get non-void-command collaborator",
"Parser","boundary","operator|=","get non-void-command collaborator",
"Parser","boundary","operator|=","get non-void-command collaborator",
"Parser","boundary","operator|","property wrapper",
"Parser","boundary","operator+=","property non-void-command collaborator",
"Parser","boundary","operator+","property collaborator",
