Unique Class Stereotype,Class Count
entity factory controller small-class,1
boundary data-class small-class,1
commander boundary degenerate,2
commander boundary lazy-class,1
data-provider degenerate,1
commander lazy-class degenerate,2
data-provider small-class,8
data-provider,6
entity minimal-entity data-provider boundary,1
controller small-class,3
unclassified,40
small-class,14
entity boundary lazy-class degenerate,1
entity boundary small-class,11
entity boundary,37
data-class small-class,1
boundary lazy-class,1
degenerate small-class,5
empty,108
commander,21
data-provider boundary small-class,13
commander boundary small-class,7
commander degenerate,1
boundary degenerate small-class,10
pure-controller degenerate,8
pure-controller small-class,1
degenerate,18
boundary,56
data-provider boundary data-class,1
minimal-entity commander boundary,2
commander boundary data-class small-class,3
commander small-class,13
entity minimal-entity commander boundary,1
commander boundary,56
pure-controller degenerate small-class,18
entity commander boundary,23
entity boundary data-class small-class,1
boundary degenerate,17
boundary lazy-class degenerate,1
controller degenerate,4
data-provider boundary data-class small-class,4
data-provider boundary,21
entity data-provider boundary,15
commander data-class small-class,1
minimal-entity boundary,1
boundary data-class,1
Total,562
