Class Name,Class Stereotype,Method Name,Method Stereotype
"frmFlatUI","commander boundary small-class","frmFlatUI::frmFlatUI","constructor",
"frmFlatUI","commander boundary small-class","frmFlatUI::~frmFlatUI","destructor",
"frmFlatUI","commander boundary small-class","frmFlatUI::initForm","command collaborator",
"CustomStyle","pure-controller degenerate small-class","CustomStyle::initStyle","controller stateless",
"frmPngTool","commander boundary","frmPngTool::frmPngTool","constructor",
"frmPngTool","commander boundary","frmPngTool::~frmPngTool","destructor",
"frmPngTool","commander boundary","frmPngTool::on_btnFile_clicked","command collaborator",
"frmPngTool","commander boundary","frmPngTool::on_btnDir_clicked","command collaborator",
"frmPngTool","commander boundary","frmPngTool::on_btnOk_clicked","command collaborator",
"frmWebServer","commander boundary","frmWebServer::frmWebServer","constructor",
"frmWebServer","commander boundary","frmWebServer::~frmWebServer","destructor",
"frmWebServer","commander boundary","frmWebServer::eventFilter","predicate non-void-command collaborator",
"frmWebServer","commander boundary","frmWebServer::initForm","command collaborator",
"frmWebServer","commander boundary","frmWebServer::initConfig","command",
"frmWebServer","commander boundary","frmWebServer::saveConfig","command",
"frmWebServer","commander boundary","frmWebServer::initTimer","command",
"frmWebServer","commander boundary","frmWebServer::append","void-accessor command",
"frmWebServer","commander boundary","frmWebServer::connected","void-accessor command collaborator",
"frmWebServer","commander boundary","frmWebServer::disconnected","void-accessor command",
"frmWebServer","commander boundary","frmWebServer::error","wrapper stateless",
"frmWebServer","commander boundary","frmWebServer::sendData","wrapper stateless",
"frmWebServer","commander boundary","frmWebServer::receiveData","wrapper stateless",
"frmWebServer","commander boundary","frmWebServer::on_btnListen_clicked","command",
"frmWebServer","commander boundary","frmWebServer::on_btnSave_clicked","command collaborator",
"frmWebServer","commander boundary","frmWebServer::on_btnClear_clicked","command",
"frmWebServer","commander boundary","frmWebServer::on_btnSend_clicked","command collaborator",
"frmWebServer","commander boundary","frmWebServer::on_btnRemove_clicked","command collaborator",
"frmUdpClient","commander","frmUdpClient::frmUdpClient","constructor",
"frmUdpClient","commander","frmUdpClient::~frmUdpClient","destructor",
"frmUdpClient","commander","frmUdpClient::eventFilter","predicate non-void-command collaborator",
"frmUdpClient","commander","frmUdpClient::initForm","command collaborator",
"frmUdpClient","commander","frmUdpClient::initConfig","command",
"frmUdpClient","commander","frmUdpClient::saveConfig","command",
"frmUdpClient","commander","frmUdpClient::initTimer","command",
"frmUdpClient","commander","frmUdpClient::append","void-accessor command",
"frmUdpClient","commander","frmUdpClient::error","command",
"frmUdpClient","commander","frmUdpClient::readData","command",
"frmUdpClient","commander","frmUdpClient::sendData","void-accessor command collaborator",
"frmUdpClient","commander","frmUdpClient::on_btnSave_clicked","command collaborator",
"frmUdpClient","commander","frmUdpClient::on_btnClear_clicked","command",
"frmUdpClient","commander","frmUdpClient::on_btnSend_clicked","command collaborator",
"frmTcpServer","commander boundary","frmTcpServer::frmTcpServer","constructor",
"frmTcpServer","commander boundary","frmTcpServer::~frmTcpServer","destructor",
"frmTcpServer","commander boundary","frmTcpServer::eventFilter","predicate non-void-command collaborator",
"frmTcpServer","commander boundary","frmTcpServer::initForm","command collaborator",
"frmTcpServer","commander boundary","frmTcpServer::initConfig","command",
"frmTcpServer","commander boundary","frmTcpServer::saveConfig","command",
"frmTcpServer","commander boundary","frmTcpServer::initTimer","command",
"frmTcpServer","commander boundary","frmTcpServer::append","void-accessor command",
"frmTcpServer","commander boundary","frmTcpServer::connected","void-accessor command collaborator",
"frmTcpServer","commander boundary","frmTcpServer::disconnected","void-accessor command",
"frmTcpServer","commander boundary","frmTcpServer::error","wrapper stateless",
"frmTcpServer","commander boundary","frmTcpServer::sendData","wrapper stateless",
"frmTcpServer","commander boundary","frmTcpServer::receiveData","wrapper stateless",
"frmTcpServer","commander boundary","frmTcpServer::on_btnListen_clicked","command",
"frmTcpServer","commander boundary","frmTcpServer::on_btnSave_clicked","command collaborator",
"frmTcpServer","commander boundary","frmTcpServer::on_btnClear_clicked","command",
"frmTcpServer","commander boundary","frmTcpServer::on_btnSend_clicked","command collaborator",
"frmTcpServer","commander boundary","frmTcpServer::on_btnRemove_clicked","command collaborator",
"WebServer","unclassified","WebServer::WebServer","constructor",
"WebServer","unclassified","WebServer::slot_newConnection","command collaborator",
"WebServer","unclassified","WebServer::slot_disconnected","void-accessor command collaborator",
"WebServer","unclassified","WebServer::start","wrapper stateless",
"WebServer","unclassified","WebServer::stop","command",
"WebServer","unclassified","WebServer::writeData","void-accessor controller",
"WebServer","unclassified","WebServer::writeData","void-accessor controller",
"WebServer","unclassified","WebServer::remove","controller",
"WebServer","unclassified","WebServer::remove","collaborator",
"TcpServer1","empty","TcpServer1::TcpServer1","constructor",
"frmEmailTool","commander","frmEmailTool::frmEmailTool","constructor",
"frmEmailTool","commander","frmEmailTool::~frmEmailTool","destructor",
"frmEmailTool","commander","frmEmailTool::initForm","command",
"frmEmailTool","commander","frmEmailTool::on_btnSend_clicked","command",
"frmEmailTool","commander","frmEmailTool::on_btnSelect_clicked","command collaborator",
"frmEmailTool","commander","frmEmailTool::check","predicate non-void-command",
"frmEmailTool","commander","frmEmailTool::on_cboxServer_currentIndexChanged","command",
"frmEmailTool","commander","frmEmailTool::receiveEmailResult","wrapper",
"frmCountCode","commander boundary","frmCountCode::frmCountCode","constructor",
"frmCountCode","commander boundary","frmCountCode::~frmCountCode","destructor",
"frmCountCode","commander boundary","frmCountCode::initForm","command collaborator",
"frmCountCode","commander boundary","frmCountCode::checkFile","predicate non-void-command collaborator",
"frmCountCode","commander boundary","frmCountCode::countCode","command collaborator",
"frmCountCode","commander boundary","frmCountCode::countCode","command collaborator",
"frmCountCode","commander boundary","frmCountCode::countCode","controller stateless",
"frmCountCode","commander boundary","frmCountCode::on_btnOpenFile_clicked","command collaborator",
"frmCountCode","commander boundary","frmCountCode::on_btnOpenPath_clicked","command collaborator",
"frmCountCode","commander boundary","frmCountCode::on_btnClear_clicked","command",
"MimePart","boundary","MimePart::MimePart","constructor",
"MimePart","boundary","MimePart::~MimePart","destructor",
"MimePart","boundary","MimePart::setContent","set collaborator",
"MimePart","boundary","MimePart::setHeader","set collaborator",
"MimePart","boundary","MimePart::addHeaderLine","set collaborator",
"MimePart","boundary","MimePart::getHeader","get collaborator",
"MimePart","boundary","MimePart::getContent","get collaborator",
"MimePart","boundary","MimePart::setContentId","set collaborator",
"MimePart","boundary","MimePart::getContentId","get collaborator",
"MimePart","boundary","MimePart::setContentName","set collaborator",
"MimePart","boundary","MimePart::getContentName","get collaborator",
"MimePart","boundary","MimePart::setContentType","set collaborator",
"MimePart","boundary","MimePart::getContentType","get collaborator",
"MimePart","boundary","MimePart::setCharset","set collaborator",
"MimePart","boundary","MimePart::getCharset","get collaborator",
"MimePart","boundary","MimePart::setEncoding","set collaborator",
"MimePart","boundary","MimePart::getEncoding","get collaborator",
"MimePart","boundary","MimePart::getContentFormatter","get collaborator",
"MimePart","boundary","MimePart::toString","get non-void-command collaborator",
"MimePart","boundary","MimePart::prepare","command",
"MimeMessage","entity boundary","MimeMessage::MimeMessage","constructor",
"MimeMessage","entity boundary","MimeMessage::~MimeMessage","destructor",
"MimeMessage","entity boundary","MimeMessage::getContent","get collaborator",
"MimeMessage","entity boundary","MimeMessage::setContent","set collaborator",
"MimeMessage","entity boundary","MimeMessage::setSender","set collaborator",
"MimeMessage","entity boundary","MimeMessage::addRecipient","collaborator",
"MimeMessage","entity boundary","MimeMessage::addTo","collaborator",
"MimeMessage","entity boundary","MimeMessage::addCc","collaborator",
"MimeMessage","entity boundary","MimeMessage::addBcc","collaborator",
"MimeMessage","entity boundary","MimeMessage::setSubject","set collaborator",
"MimeMessage","entity boundary","MimeMessage::addPart","void-accessor command collaborator",
"MimeMessage","entity boundary","MimeMessage::setHeaderEncoding","set collaborator",
"MimeMessage","entity boundary","MimeMessage::getSender","get collaborator",
"MimeMessage","entity boundary","MimeMessage::getRecipients","get collaborator",
"MimeMessage","entity boundary","MimeMessage::getSubject","get collaborator",
"MimeMessage","entity boundary","MimeMessage::getParts","property factory collaborator",
"MimeMessage","entity boundary","MimeMessage::toString","property non-void-command collaborator",
"MimeInlineFile","commander data-class small-class","MimeInlineFile::MimeInlineFile","constructor",
"MimeInlineFile","commander data-class small-class","MimeInlineFile::~MimeInlineFile","destructor",
"MimeInlineFile","commander data-class small-class","MimeInlineFile::prepare","set",
"MimeHtml","minimal-entity boundary","MimeHtml::MimeHtml","constructor",
"MimeHtml","minimal-entity boundary","MimeHtml::~MimeHtml","destructor",
"MimeHtml","minimal-entity boundary","MimeHtml::setHtml","set collaborator",
"MimeHtml","minimal-entity boundary","MimeHtml::getHtml","get collaborator",
"MimeHtml","minimal-entity boundary","MimeHtml::prepare","command",
"MimeContentFormatter","unclassified","MimeContentFormatter::MimeContentFormatter","constructor",
"MimeContentFormatter","unclassified","MimeContentFormatter::format","property controller",
"MimeContentFormatter","unclassified","MimeContentFormatter::setMaxLength","set",
"MimeContentFormatter","unclassified","MimeContentFormatter::getMaxLength","get",
"MimeAttachment","commander data-class small-class","MimeAttachment::MimeAttachment","constructor",
"MimeAttachment","commander data-class small-class","MimeAttachment::~MimeAttachment","destructor",
"MimeAttachment","commander data-class small-class","MimeAttachment::prepare","set",
"EmailAddress","boundary data-class","EmailAddress::EmailAddress","constructor",
"EmailAddress","boundary data-class","EmailAddress::~EmailAddress","destructor",
"EmailAddress","boundary data-class","EmailAddress::setName","set collaborator",
"EmailAddress","boundary data-class","EmailAddress::setAddress","set collaborator",
"EmailAddress","boundary data-class","EmailAddress::getName","get collaborator",
"EmailAddress","boundary data-class","EmailAddress::getAddress","get collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::QextSerialPortPrivate","constructor",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::~QextSerialPortPrivate","destructor",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setBaudRate","command",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setParity","command",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setDataBits","command",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setStopBits","command",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setFlowControl","command",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setTimeout","command",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setPortSettings","void-accessor command",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::_q_canRead","command collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::platformSpecificInit","command",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::platformSpecificDestruct","empty",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::open_sys","predicate non-void-command collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::close_sys","predicate set",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::flush_sys","predicate wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::bytesAvailable_sys","property wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::translateError","set collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setDtr_sys","wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setRts_sys","wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::lineStatus_sys","property wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::readData_sys","property set collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::writeData_sys","property set collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::updatePortSettings","command",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::platformSpecificInit","command",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::platformSpecificDestruct","wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::open_sys","predicate non-void-command collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::close_sys","predicate non-void-command collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::flush_sys","predicate wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::bytesAvailable_sys","property wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::translateError","set collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::readData_sys","property set collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::writeData_sys","property set collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setDtr_sys","wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::setRts_sys","wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::lineStatus_sys","property wrapper",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::_q_onWinEvent","command collaborator",
"QextSerialPortPrivate","boundary","QextSerialPortPrivate::updatePortSettings","command",
"QextReadBuffer","unclassified","QextReadBuffer","constructor",
"QextReadBuffer","unclassified","~QextReadBuffer","destructor",
"QextReadBuffer","unclassified","clear","command",
"QextReadBuffer","unclassified","size","get",
"QextReadBuffer","unclassified","isEmpty","predicate",
"QextReadBuffer","unclassified","read","property non-void-command",
"QextReadBuffer","unclassified","reserve","property non-void-command",
"QextReadBuffer","unclassified","chop","set",
"QextReadBuffer","unclassified","squeeze","command",
"QextReadBuffer","unclassified","readAll","property non-void-command collaborator",
"QextReadBuffer","unclassified","readLine","property non-void-command",
"QextReadBuffer","unclassified","canReadLine","predicate wrapper",
"frmShortCut","commander small-class","frmShortCut::frmShortCut","constructor",
"frmShortCut","commander small-class","frmShortCut::~frmShortCut","destructor",
"frmShortCut","commander small-class","frmShortCut::initForm","command collaborator",
"frmShortCut","commander small-class","frmShortCut::shortcut","command",
"App","unclassified","App::readConfig","command collaborator",
"App","unclassified","App::writeConfig","controller",
"App","unclassified","App::checkConfig","predicate non-void-command collaborator",
"Histogram","entity boundary small-class","Histogram::Histogram","constructor",
"Histogram","entity boundary small-class","Histogram::setColor","command collaborator",
"Histogram","entity boundary small-class","Histogram::setValues","void-accessor command collaborator",
"ValueBar","commander small-class","ValueBar","constructor",
"ValueBar","commander small-class","setValue","command",
"DateScaleDraw","empty","DateScaleDraw","constructor",
"GridItem","entity boundary","GridItem::GridItem","constructor",
"GridItem","entity boundary","GridItem::~GridItem","destructor",
"GridItem","entity boundary","GridItem::rtti","incidental",
"GridItem","entity boundary","GridItem::setGridAttribute","set",
"GridItem","entity boundary","GridItem::testGridAttribute","predicate collaborator",
"GridItem","entity boundary","GridItem::setOrientations","set collaborator",
"GridItem","entity boundary","GridItem::orientations","get collaborator",
"GridItem","entity boundary","GridItem::enableXMin","set",
"GridItem","entity boundary","GridItem::isXMinEnabled","get",
"GridItem","entity boundary","GridItem::enableYMin","set",
"GridItem","entity boundary","GridItem::isYMinEnabled","get",
"GridItem","entity boundary","GridItem::setXDiv","set collaborator",
"GridItem","entity boundary","GridItem::setYDiv","set collaborator",
"GridItem","entity boundary","GridItem::setPalette","set collaborator",
"GridItem","entity boundary","GridItem::palette","get collaborator",
"GridItem","entity boundary","GridItem::draw","void-accessor collaborator",
"GridItem","entity boundary","GridItem::xScaleDiv","get collaborator",
"GridItem","entity boundary","GridItem::yScaleDiv","get collaborator",
"GridItem","entity boundary","GridItem::updateScaleDiv","void-accessor command collaborator",
"GridItem","entity boundary","GridItem::brush","property collaborator",
"AlphaColorMap","empty","AlphaColorMap","constructor",
"SpectrogramData","degenerate small-class","SpectrogramData","constructor",
"SpectrogramData","degenerate small-class","value","incidental",
"GLCanvas","pure-controller small-class","GLCanvas","constructor",
"GLCanvas","pure-controller small-class","paintEvent","controller",
"SpinBox","empty","SpinBox","constructor",
"ScrollZoomer","entity boundary","ScrollZoomer::ScrollZoomer","constructor",
"ScrollZoomer","entity boundary","ScrollZoomer::~ScrollZoomer","destructor",
"ScrollZoomer","entity boundary","ScrollZoomer::rescale","command",
"ScrollZoomer","entity boundary","ScrollZoomer::scrollBar","non-void-command factory collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::horizontalScrollBar","get collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::verticalScrollBar","get collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::setHScrollBarMode","command collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::setVScrollBarMode","command collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::hScrollBarMode","get collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::vScrollBarMode","get collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::setHScrollBarPosition","set collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::setVScrollBarPosition","set collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::hScrollBarPosition","get collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::vScrollBarPosition","get collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::setCornerWidget","command collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::cornerWidget","get collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::eventFilter","predicate non-void-command collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::needScrollBar","predicate collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::updateScrollBars","command collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::layoutScrollBars","command collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::scrollBarMoved","command collaborator",
"ScrollZoomer","entity boundary","ScrollZoomer::oppositeAxis","incidental",
"MyToolBar","pure-controller small-class","MyToolBar","constructor",
"MyToolBar","pure-controller small-class","addSpacing","controller",
"RasterData","empty","RasterData","constructor",
"TuningThermo","commander small-class","TuningThermo","constructor",
"TuningThermo","commander small-class","setValue","command",
"Thermo","commander small-class","Thermo","constructor",
"Thermo","commander small-class","setValue","command",
"Wheel","entity boundary small-class","Wheel","copy-constructor",
