Unique Class Stereotype,Class Count
lazy-class,1
pure-controller,1
lazy-class degenerate,2
commander boundary degenerate,1
factory controller small-class,2
data-provider lazy-class,1
data-provider lazy-class small-class,2
controller degenerate,3
boundary lazy-class degenerate,2
minimal-entity boundary,1
commander boundary lazy-class small-class,1
boundary data-class,6
entity minimal-entity boundary,12
controller,3
boundary degenerate,9
data-provider degenerate,1
pure-controller degenerate,2
data-class,4
data-provider,12
data-provider boundary data-class small-class,29
data-provider boundary,351
data-provider data-class,2
commander data-class small-class,4
boundary small-class,82
commander boundary lazy-class degenerate,1
data-provider data-class small-class,2
boundary lazy-class small-class,3
boundary degenerate small-class,79
entity boundary data-class small-class,1
pure-controller degenerate small-class,30
entity commander boundary,8
minimal-entity commander boundary,1
data-provider boundary data-class,29
commander,4
empty,864
controller small-class,52
unclassified,37
commander boundary small-class,25
data-provider boundary small-class,252
entity boundary small-class,88
small-class,28
entity data-provider boundary,214
boundary lazy-class,2
degenerate small-class,20
data-provider boundary degenerate,9
data-class small-class,2
entity boundary,90
boundary data-class small-class,14
data-provider boundary lazy-class,3
commander boundary data-class small-class,1
commander small-class,15
entity boundary degenerate,6
pure-controller small-class,7
degenerate,9
boundary,82
data-provider small-class,11
commander boundary,8
Total,2531
