Class Name,Class Stereotype,Method Name,Method Stereotype
"SPIClass","commander boundary","transfer","property non-void-command collaborator",
"SPIClass","commander boundary","transfer16","property non-void-command collaborator",
"SPIClass","commander boundary","transfer","void-accessor command collaborator",
"SPIClass","commander boundary","beginTransaction","command collaborator",
"SPIClass","commander boundary","setBitOrder","command collaborator",
"SPIClass","commander boundary","setDataMode","command",
"SPIClass","commander boundary","setClockDivider","command",
"SPIClass","commander boundary","SPIClass::SPIClass","constructor",
"SPIClass","commander boundary","SPIClass::begin","command",
"SPIClass","commander boundary","SPIClass::begin","command",
"SPIClass","commander boundary","SPIClass::init","command",
"SPIClass","commander boundary","SPIClass::usingInterrupt","command",
"SPIClass","commander boundary","SPIClass::beginTransaction","command collaborator",
"SPIClass","commander boundary","SPIClass::endTransaction","wrapper",
"SPIClass","commander boundary","SPIClass::end","wrapper stateless",
"SPIClass","commander boundary","SPIClass::end","set",
"SPIClass","commander boundary","SPIClass::setBitOrder","set collaborator",
"SPIClass","commander boundary","SPIClass::setDataMode","set",
"SPIClass","commander boundary","SPIClass::setClockDivider","set",
"SPIClass","commander boundary","SPIClass::transfer","property set collaborator",
"SPIClass","commander boundary","SPIClass::transfer16","property non-void-command collaborator",
"SPIClass","commander boundary","SPIClass::transfer","set collaborator",
"SPIClass","commander boundary","SPIClass::attachInterrupt","empty",
"SPIClass","commander boundary","SPIClass::detachInterrupt","empty",
"SPISettings","boundary degenerate small-class","SPISettings","constructor",
"SPISettings","boundary degenerate small-class","SPISettings","constructor",
"SPISettings","boundary degenerate small-class","init_MightInline","wrapper stateless",
"MPU6050","data-provider boundary","MPU6050::MPU6050","constructor",
"MPU6050","data-provider boundary","MPU6050::initialize","command",
"MPU6050","data-provider boundary","MPU6050::testConnection","predicate non-void-command",
"MPU6050","data-provider boundary","MPU6050::getAuxVDDIOLevel","get wrapper",
"MPU6050","data-provider boundary","MPU6050::setAuxVDDIOLevel","wrapper",
"MPU6050","data-provider boundary","MPU6050::getRate","get wrapper",
"MPU6050","data-provider boundary","MPU6050::setRate","wrapper",
"MPU6050","data-provider boundary","MPU6050::getExternalFrameSync","get wrapper",
"MPU6050","data-provider boundary","MPU6050::setExternalFrameSync","wrapper",
"MPU6050","data-provider boundary","MPU6050::getDLPFMode","get wrapper",
"MPU6050","data-provider boundary","MPU6050::setDLPFMode","wrapper",
"MPU6050","data-provider boundary","MPU6050::getFullScaleGyroRange","get wrapper",
"MPU6050","data-provider boundary","MPU6050::setFullScaleGyroRange","wrapper",
"MPU6050","data-provider boundary","MPU6050::getAccelXSelfTestFactoryTrim","get wrapper",
