Class Name,Class Stereotype,Method Name,Method Stereotype
"Approx","empty","Approx","constructor",
"TemporaryFile","data-provider boundary data-class small-class","TemporaryFile","constructor",
"TemporaryFile","data-provider boundary data-class small-class","~TemporaryFile","destructor",
"TemporaryFile","data-provider boundary data-class small-class","getPath","get collaborator",
"TriangleShape","data-provider small-class","TriangleShape","constructor",
"TriangleShape","data-provider small-class","getPointCount","incidental",
"TriangleShape","data-provider small-class","getPoint","property collaborator",
"NoopSoundFileReader","degenerate","open","collaborator incidental",
"NoopSoundFileReader","degenerate","seek","empty",
"NoopSoundFileReader","degenerate","read","incidental",
"HIDJoystickManager","lazy-class","update","wrapper stateless",
"HIDJoystickManager","lazy-class","HIDJoystickManager::getInstance","incidental",
"HIDJoystickManager","lazy-class","HIDJoystickManager::getJoystickCount","get non-void-command",
"HIDJoystickManager","lazy-class","HIDJoystickManager::copyJoysticks","property wrapper",
"HIDJoystickManager","lazy-class","HIDJoystickManager::HIDJoystickManager","constructor",
"HIDJoystickManager","lazy-class","HIDJoystickManager::~HIDJoystickManager","destructor",
"HIDJoystickManager","lazy-class","HIDJoystickManager::update","wrapper stateless",
"HIDJoystickManager","lazy-class","HIDJoystickManager::pluggedIn","set",
"HIDJoystickManager","lazy-class","HIDJoystickManager::pluggedOut","set",
"XDeleter<XRRCrtcInfo>","boundary degenerate small-class","operator()","wrapper stateless",
"XDeleter<XRRScreenResources>","boundary degenerate small-class","operator()","wrapper stateless",
"XDeleter<XImage>","boundary degenerate small-class","operator()","wrapper stateless",
"XDeleter","boundary degenerate small-class","operator()","wrapper stateless",
"XDeleter<XcursorImage>","boundary degenerate small-class","operator()","wrapper stateless",
"DrawableTest","data-class small-class","callCount","get",
"DrawableTest","data-class small-class","draw","set",
"SensorManager","boundary","update","wrapper stateless",
"SensorManager","boundary","SensorManager::getInstance","incidental",
"SensorManager","boundary","SensorManager::isAvailable","get collaborator",
"SensorManager","boundary","SensorManager::setEnabled","controller",
"SensorManager","boundary","SensorManager::isEnabled","get collaborator",
"SensorManager","boundary","SensorManager::getValue","get collaborator",
"SensorManager","boundary","SensorManager::update","controller",
"SensorManager","boundary","SensorManager::SensorManager","constructor",
"SensorManager","boundary","SensorManager::~SensorManager","destructor",
"JoystickManager","data-provider boundary lazy-class","update","wrapper stateless",
"JoystickManager","data-provider boundary lazy-class","JoystickManager::getInstance","incidental",
"JoystickManager","data-provider boundary lazy-class","JoystickManager::getCapabilities","get collaborator",
"JoystickManager","data-provider boundary lazy-class","JoystickManager::getState","get collaborator",
"JoystickManager","data-provider boundary lazy-class","JoystickManager::getIdentification","get collaborator",
"JoystickManager","data-provider boundary lazy-class","JoystickManager::update","controller",
"JoystickManager","data-provider boundary lazy-class","JoystickManager::JoystickManager","constructor",
"JoystickManager","data-provider boundary lazy-class","JoystickManager::~JoystickManager","destructor",
"GlContext::SharedContext","commander small-class","loadExtensions","command",
"EglContext","commander boundary","EglContext::EglContext","copy-constructor",
"EglContext","commander boundary","EglContext::EglContext","copy-constructor",
"EglContext","commander boundary","EglContext::EglContext","copy-constructor",
"EglContext","commander boundary","EglContext::~EglContext","destructor",
"EglContext","commander boundary","EglContext::getFunction","wrapper stateless",
"EglContext","commander boundary","EglContext::makeCurrent","predicate wrapper",
"EglContext","commander boundary","EglContext::display","wrapper",
"EglContext","commander boundary","EglContext::setVerticalSyncEnabled","wrapper",
"EglContext","commander boundary","EglContext::createContext","set collaborator",
"EglContext","commander boundary","EglContext::createSurface","set collaborator",
"EglContext","commander boundary","EglContext::destroySurface","set",
"EglContext","commander boundary","EglContext::getBestConfig","controller stateless",
"EglContext","commander boundary","EglContext::updateSettings","command collaborator",
"EglContext","commander boundary","EglContext::selectBestVisual","property non-void-command collaborator",
"WindowImplAndroid","degenerate","WindowImplAndroid::WindowImplAndroid","constructor",
"WindowImplAndroid","degenerate","WindowImplAndroid::WindowImplAndroid","constructor",
"WindowImplAndroid","degenerate","WindowImplAndroid::~WindowImplAndroid","destructor",
"WindowImplAndroid","degenerate","WindowImplAndroid::getNativeHandle","wrapper stateless",
"WindowImplAndroid","degenerate","WindowImplAndroid::processEvents","command collaborator",
"WindowImplAndroid","degenerate","WindowImplAndroid::getPosition","collaborator incidental",
"WindowImplAndroid","degenerate","WindowImplAndroid::setPosition","empty",
"WindowImplAndroid","degenerate","WindowImplAndroid::getSize","get collaborator",
"WindowImplAndroid","degenerate","WindowImplAndroid::setSize","empty",
"WindowImplAndroid","degenerate","WindowImplAndroid::setMinimumSize","empty",
"WindowImplAndroid","degenerate","WindowImplAndroid::setMaximumSize","empty",
