Unique Class Stereotype,Class Count
degenerate small-class,1
commander boundary small-class,1
data-provider small-class,1
entity data-provider boundary,2
controller degenerate,2
small-class,1
entity boundary small-class,2
boundary degenerate small-class,5
minimal-entity commander boundary,1
boundary,6
commander,1
data-provider boundary small-class,4
boundary small-class,4
data-provider boundary data-class small-class,2
data-provider boundary,4
commander boundary,1
data-provider data-class small-class,1
data-provider,3
commander small-class,1
data-provider degenerate,2
data-class small-class,1
degenerate,2
entity boundary,5
empty,23
unclassified,4
pure-controller degenerate small-class,1
commander boundary data-class small-class,1
Total,82
