Unique Class Stereotype,Class Count
data-provider boundary data-class,1
controller,2
pure-controller degenerate small-class,3
commander boundary small-class,1
data-provider boundary data-class small-class,2
data-provider boundary,8
entity boundary,19
data-provider,23
pure-controller degenerate,3
controller lazy-class degenerate,1
data-provider small-class,6
boundary data-class,1
entity boundary small-class,22
small-class,16
data-provider boundary small-class,11
controller small-class,3
unclassified,62
boundary degenerate small-class,22
boundary degenerate,14
entity factory controller small-class,6
boundary small-class,2
commander data-class small-class,2
data-provider degenerate,13
commander small-class,5
degenerate small-class,4
lazy-class degenerate,3
entity data-provider boundary,2
boundary lazy-class degenerate,5
commander,3
empty,268
entity small-class,1
boundary,33
degenerate,35
pure-controller small-class,1
Total,603
