Unique Method Stereotype,Method Count
property factory wrapper,3
get wrapper,3
property set,7
property set factory collaborator,3
get set collaborator,1
factory collaborator stateless,3
property factory collaborator,25
factory controller stateless,9
void-accessor command collaborator,1
property set collaborator,26
non-void-command collaborator,3
predicate wrapper,13
get collaborator,30
property command collaborator,8
predicate,30
get property collaborator,1
set,132
constructor,306
predicate non-void-command,21
predicate set collaborator,2
property,205
set collaborator,17
property non-void-command collaborator,148
property controller,46
controller stateless,39
command collaborator,144
non-void-command factory collaborator,4
predicate controller,19
property wrapper,74
destructor,54
get property wrapper,3
get non-void-command,3
factory wrapper stateless,38
predicate collaborator,13
get set,15
wrapper,38
command,170
empty,100
factory collaborator,2
unclassified,89
get,25
collaborator incidental,58
wrapper stateless,189
controller,19
predicate non-void-command collaborator,28
copy-constructor,13
incidental,444
property non-void-command factory collaborator,40
property non-void-command,12
predicate set,2
property collaborator,217
collaborator,10
Total,2905
