Unique Class Stereotype,Class Count
data-provider boundary lazy-class degenerate,1
controller,1
data-provider degenerate,1
lazy-class degenerate,2
data-provider lazy-class,2
controller data-class small-class,2
controller degenerate,2
data-provider boundary lazy-class,2
boundary degenerate,10
boundary data-class,6
minimal-entity boundary,1
commander boundary,2
data-provider boundary data-class,19
entity boundary,30
data-class small-class,8
data-provider lazy-class small-class,5
entity data-provider boundary,13
entity boundary small-class,230
small-class,21
degenerate small-class,19
boundary lazy-class,3
data-provider boundary data-class small-class,54
data-provider boundary,42
commander data-class small-class,1
data-provider data-class,7
boundary small-class,7
data-provider boundary small-class,51
data-provider small-class,13
boundary degenerate small-class,473
controller small-class,8
unclassified,33
commander,7
empty,432
commander boundary small-class,3
data-provider,19
data-provider data-class small-class,15
data-class,4
entity data-provider boundary small-class,1
pure-controller small-class,1
degenerate,7
boundary,19
data-provider boundary degenerate,1
lazy-class data-class small-class,1
boundary data-class small-class,3
data-provider lazy-class degenerate,2
entity boundary degenerate,3
commander small-class,6
entity commander boundary,2
pure-controller degenerate small-class,80
entity boundary data-class small-class,1
Total,1676
